File,SentenceNumber,Sentence,Translation,EntityType,Role,Sarcasm,NonOffensive
A_1,6,‪Bullo1‬ : Tu che sei un maschio,‪Bullo1 : You who are a male,Insult-Discrimination-Sexism,Harasser,False,False
A_1,7,‪SupportoBullo2‬ : Infatti ti sembra normale ? ? &#128514; &#128514;,"‪SupportoBullo2 : Actually, does it seem normal to you? ? &#128514;  &#128514",Insult-Discrimination-Sexism,Bystander_assistant,False,False
A_1,9,‪Bullo1‬ : No è da femmine,"‪Bullo1 : No, it's for girls.",Insult-Discrimination-Sexism,Harasser,False,False
A_1,13,‪SupportoBullo2‬ : che balla come un idiota &#128514;,‪SupportoBullo2 : who dances like an idiot &#128514,Insult-General_Insult,Bystander_assistant,False,False
A_1,14,Vittima : Ma cosa c'è di male ?,Vittima : What's wrong with that?,Defense,Victim,False,False
A_1,16,‪SupportoVittima3‬ : Vittima non ascoltarli,"‪SupportoVittima3 : Vittima, don't listen to them.",Defense,Bystander_defender,False,False
A_1,17,‪Bullo1‬ : Ma vai a fae calcio femminuccia che non sei altro,"‪Bullo1 : Go play soccer, you sissy!",Insult-Discrimination-Sexism,Harasser,False,False
A_1,18,‪SupportoBullo2‬ : Bullo1 ha ragione ! ! ! ! !,‪SupportoBullo2 : Bullo1 is right ! ! ! ! !,Encouragement_to_the_Harasser,Bystander_assistant,False,False
A_1,22,‪Bullo1‬ : Tra l'altro femmine come te,‪Bullo1 : females like you by the way,Insult-Discrimination-Sexism,Harasser,False,False
A_1,24,"‪SupportoVittima3‬ : Lasciali stare , se ti piace ballare balla , se ti piace cantare canta , senza pregiudizi &#128076;","‪SupportoVittima3 : Leave them alone, if you like to dance, dance, if you like to sing, sing, free of prejudice &#128076;",Defense,Bystander_defender,False,False
A_1,28,‪SupportoBullo2‬ : Smerdati alla grande,‪SupportoBullo2 : You have been brilliantly shamed,Insult-General_Insult,Bystander_assistant,False,False
A_1,29,Vittima : Grazie . Ma se a me piace ballare e a Bullo1 piace giocare a rugby che problema ci sarebbe ?,"Vittima : Thank you. But if I like to dance and Bullo1 likes to play rugby, what would be the problem?",Defense,Victim,False,False
A_1,33,‪Bullo1‬ : Sei così effemminato che intorno a te ci sono più finocchi che in un orto,‪Bullo1 : You're so effeminate that there are more pansies around you than in a garden.,Insult-Discrimination-Sexism,Harasser,False,False
A_1,35,‪SupportoVittima1‬ : Ma cosa vi importa a voi se lui balla ? Se non vi piace ballare non andate neanche a vederlo . Io sicuramente ci saró,‪SupportoVittima1 : But why do you care if he dances ? If you don't like dancing don't even go to see him. I'll be there for sure,Defense,Bystander_defender,False,False
A_1,37,‪Bullo1‬ : Ma per ridere e prenderlo in giro,‪Bullo1 : Just to laugh and make fun of him.,Threat_or_Blackmail,Harasser,False,False
A_1,38,‪SupportoVittima3‬ : Sei un MOSTRO,‪SupportoVittima3 : You are a MONSTER,Insult-General_Insult,Bystander_defender,False,False
A_1,39,‪SupportoVittima1‬ : Non ha senso lasciatelo stare,"‪SupportoVittima1 : It's nonsense, leave him alone",Defense,Bystander_defender,False,False
A_1,41,‪SupportoBullo2‬ : Ci sarò ovviamente alla figuraccia che farà Vittima,‪SupportoBullo2 : Of course I'll be there when Vittima will make a fool of himself.,Insult-General_Insult,Bystander_assistant,False,False
A_1,42,‪SupportoVittima3‬ : FORZA Vittima io credo in te,"‪SupportoVittima3 : Come on Vittima, I believe in you",Defense,Bystander_defender,False,False
A_1,43,‪SupportoBullo2‬ : L unico finocchio che ballerà insieme alle ragazze,‪SupportoBullo2 : The only fag who will dance with the girls,Insult-Discrimination-Sexism,Bystander_assistant,False,False
A_1,44,‪SupportoVittima1‬ : Ma vorrei vederti io ballare ! Sicuramente è più bravo di voi,‪SupportoVittima1 : But I'd like to see you dance! I'm sure he's better than you.,Defense,Bystander_defender,False,False
A_1,45,‪Bullo1‬ : Farò stampare Delle magliette con te in tutù,‪Bullo1 : I'll have T-shirts printed with you wearing a tutu.,Threat_or_Blackmail,Harasser,False,False
A_1,46,‪SupportoBullo2‬ : Grande Bullo1 &#128514;,‪SupportoBullo2 : Great Bullo1 &#128514,Encouragement_to_the_Harasser,Bystander_assistant,False,False
A_1,47,‪SupportoVittima3‬ : Invece e` fortunatissimo,‪SupportoVittima3 : he is very lucky instead,Defense,Bystander_defender,False,False
A_1,51,‪Bullo1‬ : Ma se è Gay,‪Bullo1 : But if he is gay,Insult-Discrimination-Sexism,Harasser,False,False
A_1,52,‪SupportoBullo2‬ : Non gli importa niente delle ragazze ma appena vede un uomo si eccita &#128514;,‪SupportoBullo2 : He doesn't care about girls but as soon as he sees a man he gets excited &#128514,Insult-Discrimination-Sexism,Bystander_assistant,False,False
A_1,55,‪SupportoVittima3‬ : Ma cosa vi ha fatto ?,‪SupportoVittima3 : What has he done to you ?,Defense,Bystander_defender,False,False
A_1,59,‪SupportoVittima3‬ : Ma se sapete che la VOSTRA verità può fare male a qualcuno tacete e basta dite di non venire e il problema finisce qua`,"‪SupportoVittima3 : But if you know that YOUR truth can hurt someone just shut up, say you will not go and the problem ends here",Defense,Bystander_defender,False,False
A_1,67,‪Bullo2‬ : Ma smettetela è una cosa stupida ! ! Ve lo immaginate lui che balla ? ? ?,‪Bullo2 : Stop it. This is stupid! ! Can you imagine him dancing? ? ?,Insult-General_Insult,Harasser,False,False
A_1,69,‪Bullo2‬ : Farebbe troppo ridere &#128514; &#128514; &#128514;,‪Bullo2 : It would be too funny &#128514;  &#128514;  &#128514,Insult-General_Insult,Harasser,False,False
A_1,70,‪SupportoVittima3‬ : Si e secondo me è anche bravo,"‪SupportoVittima3 : Yes, and I think he's very good.",Defense,Bystander_defender,False,False
A_1,71,Vittima : Ma se non mi avete mai visto ballare come potete giudicare ?,Vittima : But if you have never seen me dance how can you judge?,Defense,Victim,False,False
A_1,75,‪Bullo2‬ : Lui ? Bravo ? Si a fare figuracce di sicuro,‪Bullo2 : How about him? Good? Yes to make a fool of himself for sure.,Insult-General_Insult,Harasser,False,False
A_1,76,‪Bullo1‬ : Vedremo quanto sei brava Vittima,"‪Bullo1 : We'll see how good you are, Vittima.",Threat_or_Blackmail,Harasser,False,False
A_1,77,‪Bullo2‬ : Già bravissima immagino,‪Bullo2 : Already very good I imagine,Insult-Discrimination-Sexism,Harasser,False,False
A_1,81,‪SupportoBullo2‬ : Non avresti fatto la figura del deficiente ballerino,‪SupportoBullo2 : You wouldn't have looked like a dancing idiot.,Insult-General_Insult,Bystander_assistant,False,False
A_1,84,‪Bullo2‬ : Io già me lo immagino tutto rosso in viso che balla come un femminuccia &#128514; &#128514; &#128514;,‪Bullo2 : I can already imagine him all red in the face dancing like a sissy &#128514;  &#128514;  &#128514,Insult-Discrimination-Sexism,Harasser,False,False
A_1,85,‪Bullo2‬ : Smettila di difenderlo tanto lo sai anche tu che verrà fuori una schifezza,"‪Bullo2 : Stop defending him, you know it will be a piece of crap.",Insult-General_Insult,Harasser,False,False
A_1,87,‪SupportoVittima3‬ : Non è vero,‪SupportoVittima3 : It's not true!,Defense,Bystander_defender,False,False
A_1,94,‪Bullo2‬ : Di sicuro un cane è più bravo di lui,‪Bullo2 : Surely a dog is better than him,Insult-General_Insult,Harasser,False,False
A_1,95,‪SupportoBullo2‬ : Con la grazia di un elefante &#128514;,‪SupportoBullo2 : With the grace of an elephant &#128514,Insult-BodyShame,Bystander_assistant,False,False
A_1,96,‪SupportoVittima1‬ : Ma se diventasse come Roberto Bolle ?,‪SupportoVittima1 : What if he became like Roberto Bolle?,Defense,Bystander_defender,False,False
A_1,100,‪SupportoBullo2‬ : Chi cacchio è il più finocchio dell universo ?,‪SupportoBullo2 : Who is the biggest fag in the universe?,Insult-Discrimination-Sexism,Bystander_assistant,False,False
A_1,101,‪SupportoVittima3‬ : Okay ci sarò a fare il tifo x te ( in modo positivo ),‪SupportoVittima3 : Okay I'll be there to cheer  you  in a good way),Defense,Bystander_defender,False,False
A_1,102,‪Bullo2‬ : Bravi vai ad allenarti così magari farai una figura un po' più decente,"‪Bullo2 : Well done,  go and practice so maybe you will make a little more decent impression.",Insult-General_Insult,Harasser,False,False
A_1,103,‪Bullo2‬ : Ma non credo,‪Bullo2 : I don't think so.,Other,Harasser,False,False
A_1,104,‪SupportoVittima3‬ : Voglio vederti te a ballare saresti un pinguino . . . sicuro,"‪SupportoVittima3 : I want to see you dancing, you'd be like a penguin . . . for sure",Insult-General_Insult,Bystander_assistant,False,False
A_1,107,‪Bullo2‬ : Beh un pinguino balla sicuramente meglio di Vittima,"‪Bullo2 : Well, a penguin certainly dances better than Vittima .",Insult-General_Insult,Harasser,False,False
A_1,110,‪Bullo2‬ : Sembra ebete,‪Bullo2 : He looks like an idiot,Insult-General_Insult,Harasser,False,False
A_1,112,"‪Bullo2‬ : Poverino , non augurerei questa fine a nessuno","‪Bullo2 : Poor guy, I wouldn't wish this on anyone.",Insult-General_Insult,Harasser,False,False
A_1,118,‪Bullo2‬ : Io penso solo che Vittima stia facendo una cosa stupida,‪Bullo2 : I just think that Vittima is doing something stupid,Insult-General_Insult,Harasser,False,False
