File,SentenceNumber,Sentence,Translation
C_1,0,"‎28 / 04 / 18 , 14 : 18 - Bullo2 : Vaffanculo Vittima nessuno vuole fare i compiti","‎28 / 04 / 18 , 14 : 18 - Bullo2 : Fuck off Vittima, no one wants to do homework"
C_1,1,"‎28 / 04 / 18 , 14 : 19 - SupportoBullo3 : Infatti ma stai zitto e non studiare sempre bravo Bullo2 così si fai","‎28 / 04 / 18 , 14 : 19 - SupportoBullo3 : In fact, shut up and do not study all the time , good Bullo2, there you go"
C_1,2,"‎28 / 04 / 18 , 14 : 19 - SupportoBullo1 : Quasi quasi verrei lì da te e te li farei fare tutti i nostri compiti in più crepa","‎28 / 04 / 18 , 14 : 19 - SupportoBullo1 : I almost would come to you and I would make you do all our extra homework. Die."
C_1,3,"‎28 / 04 / 18 , 14 : 20 - SupportoBullo3 : Ecco secchione da schifo","‎28 / 04 / 18 , 14 : 20 - SupportoBullo3 : Here's shitty nerd."
C_1,4,"‎28 / 04 / 18 , 14 : 20 - SupportoVittima1 : Ogniuno si deve fare i propti compiti pk cosí si impara qualcosa","‎28 / 04 / 18 , 14 : 20 - SupportoVittima1 : Everyone has to do their homework, because that is how they can learn something."
C_1,5,"‎28 / 04 / 18 , 14 : 20 - Bullo2 : MinChia pure tua madre se mi sta sul c***o","‎28 / 04 / 18 , 14 : 20 - Bullo2 : F**k your mother too, if she's on my ass!"
C_1,6,"‎28 / 04 / 18 , 14 : 21 - SupportoBullo1 : Tutta colpa tua ora non ho mai tempo libero solo perché devo fare sto cazzo di compiti che per colpa tua facciamo","‎28 / 04 / 18 , 14 : 21 - SupportoBullo1 : It is all your fault now,  I never have free time just because I have to do this f***ing homework that we do because of you"
C_1,7,"‎28 / 04 / 18 , 14 : 21 - SupportoBullo3 : Si ma non si può star a casa tutto il giorno a studiare si deve essere così stupidi","‎28 / 04 / 18 , 14 : 21 - SupportoBullo3 : yeah but you can't stay home all day and study, you must be so stupid"
C_1,8,"‎28 / 04 / 18 , 14 : 21 - SupportoBullo1 : Non poteva starsene zitta poi","‎28 / 04 / 18 , 14 : 21 - SupportoBullo1 : She could not stay silent then"
C_1,9,"‎28 / 04 / 18 , 14 : 22 - Bullo2 : I libri dei compiti te li infiliamo su per il . . .","‎28 / 04 / 18 , 14 : 22 - Bullo2 : We'll shove your homework books up your..."
C_1,10,"‎28 / 04 / 18 , 14 : 22 - SupportoVittima1 : Poi non rompete a Vittima pk si vede che lui studia e coi no","‎28 / 04 / 18 , 14 : 22 - SupportoVittima1 : Then don't bother Vittima because it is clear that he studies and you don't"
C_1,11,"‎28 / 04 / 18 , 14 : 22 - Bullo2 : Ma che casso c'è ne frega che lui studia e noi no Mona","‎28 / 04 / 18 , 14 : 22 - Bullo2 : What the hell do we care if he studies and we don't, bitch?"
C_1,12,"‎28 / 04 / 18 , 14 : 23 - SupportoBullo3 : Ma stai zitta tu e il tuo fidanzato che studia","‎28 / 04 / 18 , 14 : 23 - SupportoBullo3 : Shut up, you and your boyfriend who studies"
C_1,13,"‎28 / 04 / 18 , 14 : 23 - Bullo2 : Vittima coglione","‎28 / 04 / 18 , 14 : 23 - Bullo2 : Vittima asshole"
C_1,14,"‎28 / 04 / 18 , 14 : 23 - SupportoBullo3 : Hahahahah hai ragione","‎28 / 04 / 18 , 14 : 23 - SupportoBullo3 : Hahahah you are right"
C_1,15,"‎28 / 04 / 18 , 14 : 24 - Vittima : ma non è colpa mia !","‎28 / 04 / 18 , 14 : 24 - Vittima : But it's not my fault!"
