File,SentenceNumber,Sentence,Translation,EntityType,Role,Sarcasm,NonOffensive
C_1,0,"‎28 / 04 / 18 , 14 : 18 - Bullo2 : Vaffanculo Vittima nessuno vuole fare i compiti","‎28 / 04 / 18 , 14 : 18 - Bullo2 : Fuck off Vittima, no one wants to do homework",Insult-General_Insult,Harasser,False,False
C_1,1,"‎28 / 04 / 18 , 14 : 19 - SupportoBullo3 : Infatti ma stai zitto e non studiare sempre bravo Bullo2 così si fai","‎28 / 04 / 18 , 14 : 19 - SupportoBullo3 : In fact, shut up and do not study all the time , good Bullo2, there you go",Curse_or_Exclusion,Bystander_assistant,False,False
C_1,1,"‎28 / 04 / 18 , 14 : 19 - SupportoBullo3 : Infatti ma stai zitto e non studiare sempre bravo Bullo2 così si fai","‎28 / 04 / 18 , 14 : 19 - SupportoBullo3 : In fact, shut up and do not study all the time , good Bullo2, there you go",Curse_or_Exclusion,Bystander_assistant,False,False
C_1,1,"‎28 / 04 / 18 , 14 : 19 - SupportoBullo3 : Infatti ma stai zitto e non studiare sempre bravo Bullo2 così si fai","‎28 / 04 / 18 , 14 : 19 - SupportoBullo3 : In fact, shut up and do not study all the time , good Bullo2, there you go",Encouragement_to_the_Harasser,Bystander_assistant,False,False
C_1,1,"‎28 / 04 / 18 , 14 : 19 - SupportoBullo3 : Infatti ma stai zitto e non studiare sempre bravo Bullo2 così si fai","‎28 / 04 / 18 , 14 : 19 - SupportoBullo3 : In fact, shut up and do not study all the time , good Bullo2, there you go",Encouragement_to_the_Harasser,Bystander_assistant,False,False
C_1,2,"‎28 / 04 / 18 , 14 : 19 - SupportoBullo1 : Quasi quasi verrei lì da te e te li farei fare tutti i nostri compiti in più crepa","‎28 / 04 / 18 , 14 : 19 - SupportoBullo1 : I almost would come to you and I would make you do all our extra homework. Die.",Curse_or_Exclusion,Bystander_assistant,False,False
C_1,3,"‎28 / 04 / 18 , 14 : 20 - SupportoBullo3 : Ecco secchione da schifo","‎28 / 04 / 18 , 14 : 20 - SupportoBullo3 : Here's shitty nerd.",Insult-General_Insult,Bystander_assistant,False,False
C_1,5,"‎28 / 04 / 18 , 14 : 20 - Bullo2 : MinChia pure tua madre se mi sta sul c***o","‎28 / 04 / 18 , 14 : 20 - Bullo2 : F**k your mother too, if she's on my ass!",Insult-Attacking_relatives,Harasser,False,False
C_1,6,"‎28 / 04 / 18 , 14 : 21 - SupportoBullo1 : Tutta colpa tua ora non ho mai tempo libero solo perché devo fare sto cazzo di compiti che per colpa tua facciamo","‎28 / 04 / 18 , 14 : 21 - SupportoBullo1 : It is all your fault now,  I never have free time just because I have to do this f***ing homework that we do because of you",Curse_or_Exclusion,Bystander_assistant,False,False
C_1,7,"‎28 / 04 / 18 , 14 : 21 - SupportoBullo3 : Si ma non si può star a casa tutto il giorno a studiare si deve essere così stupidi","‎28 / 04 / 18 , 14 : 21 - SupportoBullo3 : yeah but you can't stay home all day and study, you must be so stupid",Insult-General_Insult,Bystander_assistant,False,False
C_1,8,"‎28 / 04 / 18 , 14 : 21 - SupportoBullo1 : Non poteva starsene zitta poi","‎28 / 04 / 18 , 14 : 21 - SupportoBullo1 : She could not stay silent then",Curse_or_Exclusion,Bystander_assistant,False,False
C_1,9,"‎28 / 04 / 18 , 14 : 22 - Bullo2 : I libri dei compiti te li infiliamo su per il . . .","‎28 / 04 / 18 , 14 : 22 - Bullo2 : We'll shove your homework books up your...",Threat_or_Blackmail,Harasser,False,False
