File,SentenceNumber,Sentence,Translation
D_1,0,"‎27 / 04 / 18 , 14 : 00 - Bullo1 : Che scemo che eri su quel video","‎27 / 04 / 18 , 14 : 00 - Bullo1 : What a fool you were on that video!"
D_1,1,"‎27 / 04 / 18 , 14 : 01 - Bullo1 : Non sai manco fare una flessione e ora ti metti a ballare","‎27 / 04 / 18 , 14 : 01 - Bullo1 : You don't even know how to do a push-up and now you're dancing."
D_1,2,"‎27 / 04 / 18 , 14 : 01 - Bullo1 : Ma va ! ! !","‎27 / 04 / 18 , 14 : 01 - Bullo1 : Really ! ! !"
D_1,3,"‎27 / 04 / 18 , 14 : 02 - Bullo2 : sfigato madonna ahahahhaa","‎27 / 04 / 18 , 14 : 02 - Bullo2 : loser gosh ahahahhaa"
D_1,4,"‎27 / 04 / 18 , 14 : 03 - SupportoVittima1 : Grandee &#128514; &#128514;","‎27 / 04 / 18 , 14 : 03 - SupportoVittima1 : Great &#128514; &#128514;"
D_1,5,"‎27 / 04 / 18 , 14 : 04 - Bullo2 : i musical . ly sono da femmina","‎27 / 04 / 18 , 14 : 04 - Bullo2 : the musical . ly videos are for girls"
D_1,6,"‎27 / 04 / 18 , 14 : 04 - Bullo2 : poi balli come una vacca in calore dai dai","‎27 / 04 / 18 , 14 : 04 - Bullo2 : You dance like a cow on heat."
D_1,7,"‎27 / 04 / 18 , 14 : 04 - Vittima : A me sembra di aver ottenuto successo con quel video . . .","‎27 / 04 / 18 , 14 : 04 - Vittima : It seems to me I have achieved success with that video . . ."
D_1,8,"‎27 / 04 / 18 , 14 : 05 - Bullo2 : a me sembra proprio che tu abbia ottenuto successo solo tra gli sfigati come te ahahahha","‎27 / 04 / 18 , 14 : 05 - Bullo2 : it seems to me that you only achieved success among losers like you ahahahha"
D_1,9,"‎27 / 04 / 18 , 14 : 05 - Bullo1 : &#129315;","‎27 / 04 / 18 , 14 : 05 - Bullo1 : &#129315;"
D_1,10,"‎27 / 04 / 18 , 14 : 06 - Bullo1 : Be ovvio Bullo2 lui è il re degli sfigati","‎27 / 04 / 18 , 14 : 06 - Bullo1 : Of course Bully2 is the king of losers."
D_1,11,"‎27 / 04 / 18 , 14 : 06 - Bullo1 : Un cesso vivente","‎27 / 04 / 18 , 14 : 06 - Bullo1 : A living toilet."
D_1,12,"‎27 / 04 / 18 , 14 : 06 - Bullo2 : ovvioooo","‎27 / 04 / 18 , 14 : 06 - Bullo2 : Of course"
D_1,13,"‎27 / 04 / 18 , 14 : 07 - Bullo1 : &#128169; &#128169; &#128169; &#128169; &#128169; &#128169;","‎27 / 04 / 18 , 14 : 07 - Bullo1 : &#128169; &#128169; &#128169; &#128169; &#128169; &#128169;"
D_1,14,"‎27 / 04 / 18 , 14 : 08 - Bullo1 : Be lui che è","‎27 / 04 / 18 , 14 : 08 - Bullo1 : Well he is"
D_1,15,"‎27 / 04 / 18 , 14 : 08 - Bullo1 : &#128514;","‎27 / 04 / 18 , 14 : 08 - Bullo1 : &#128514;"
D_1,16,"‎27 / 04 / 18 , 14 : 09 - SupportoVittima1 : &#128514; &#128514;","‎27 / 04 / 18 , 14 : 09 - SupportoVittima1 : &#128514; &#128514;"
D_1,17,"‎27 / 04 / 18 , 14 : 09 - Bullo2 : ah beh decisamente una donna","‎27 / 04 / 18 , 14 : 09 - Bullo2 : ah well, definitely a woman"
D_1,18,"‎27 / 04 / 18 , 14 : 09 - Vittima : non mi sembra . . .","‎27 / 04 / 18 , 14 : 09 - Vittima : I do not think so ..."
D_1,19,"‎27 / 04 / 18 , 14 : 09 - Vittima : a me piace quel video","‎27 / 04 / 18 , 14 : 09 - Vittima : I like that video"
