File,SentenceNumber,Sentence,Translation,EntityType,Role,Sarcasm,NonOffensive
D_1,0,"‎27 / 04 / 18 , 14 : 00 - Bullo1 : Che scemo che eri su quel video","‎27 / 04 / 18 , 14 : 00 - Bullo1 : What a fool you were on that video!",Insult-General_Insult,Harasser,False,False
D_1,1,"‎27 / 04 / 18 , 14 : 01 - Bullo1 : Non sai manco fare una flessione e ora ti metti a ballare","‎27 / 04 / 18 , 14 : 01 - Bullo1 : You don't even know how to do a push-up and now you're dancing.",Insult-General_Insult,Harasser,False,False
D_1,3,"‎27 / 04 / 18 , 14 : 02 - Bullo2 : sfigato madonna ahahahhaa","‎27 / 04 / 18 , 14 : 02 - Bullo2 : loser gosh ahahahhaa",Insult-General_Insult,Harasser,False,False
D_1,4,"‎27 / 04 / 18 , 14 : 03 - SupportoVittima1 : Grandee &#128514; &#128514;","‎27 / 04 / 18 , 14 : 03 - SupportoVittima1 : Great &#128514; &#128514;",Defense,Bystander_defender,False,False
D_1,5,"‎27 / 04 / 18 , 14 : 04 - Bullo2 : i musical . ly sono da femmina","‎27 / 04 / 18 , 14 : 04 - Bullo2 : the musical . ly videos are for girls",Insult-Discrimination-Sexism,Harasser,False,False
D_1,6,"‎27 / 04 / 18 , 14 : 04 - Bullo2 : poi balli come una vacca in calore dai dai","‎27 / 04 / 18 , 14 : 04 - Bullo2 : You dance like a cow on heat.",Insult-BodyShame,Harasser,False,False
D_1,7,"‎27 / 04 / 18 , 14 : 04 - Vittima : A me sembra di aver ottenuto successo con quel video . . .","‎27 / 04 / 18 , 14 : 04 - Vittima : It seems to me I have achieved success with that video . . .",Defense,Victim,False,False
D_1,8,"‎27 / 04 / 18 , 14 : 05 - Bullo2 : a me sembra proprio che tu abbia ottenuto successo solo tra gli sfigati come te ahahahha","‎27 / 04 / 18 , 14 : 05 - Bullo2 : it seems to me that you only achieved success among losers like you ahahahha",Insult-General_Insult,Harasser,False,False
D_1,10,"‎27 / 04 / 18 , 14 : 06 - Bullo1 : Be ovvio Bullo2 lui è il re degli sfigati","‎27 / 04 / 18 , 14 : 06 - Bullo1 : Of course Bully2 is the king of losers.",Insult-General_Insult,Harasser,False,False
D_1,11,"‎27 / 04 / 18 , 14 : 06 - Bullo1 : Un cesso vivente","‎27 / 04 / 18 , 14 : 06 - Bullo1 : A living toilet.",Insult-BodyShame,Harasser,False,False
D_1,12,"‎27 / 04 / 18 , 14 : 06 - Bullo2 : ovvioooo","‎27 / 04 / 18 , 14 : 06 - Bullo2 : Of course",Encouragement_to_the_Harasser,Harasser,False,False
D_1,13,"‎27 / 04 / 18 , 14 : 07 - Bullo1 : &#128169; &#128169; &#128169; &#128169; &#128169; &#128169;","‎27 / 04 / 18 , 14 : 07 - Bullo1 : &#128169; &#128169; &#128169; &#128169; &#128169; &#128169;",Insult-General_Insult,Harasser,False,False
D_1,17,"‎27 / 04 / 18 , 14 : 09 - Bullo2 : ah beh decisamente una donna","‎27 / 04 / 18 , 14 : 09 - Bullo2 : ah well, definitely a woman",Insult-Discrimination-Sexism,Harasser,False,False
D_1,18,"‎27 / 04 / 18 , 14 : 09 - Vittima : non mi sembra . . .","‎27 / 04 / 18 , 14 : 09 - Vittima : I do not think so ...",Defense,Victim,False,False
D_1,19,"‎27 / 04 / 18 , 14 : 09 - Vittima : a me piace quel video","‎27 / 04 / 18 , 14 : 09 - Vittima : I like that video",Defense,Victim,False,False
D_1,21,"‎27 / 04 / 18 , 14 : 09 - Bullo2 : fa cagare in poche parole","‎27 / 04 / 18 , 14 : 09 - Bullo2 : It is shit simply put",Insult-General_Insult,Harasser,False,False
D_1,22,"‎27 / 04 / 18 , 14 : 09 - Bullo1 : &#128169;","‎27 / 04 / 18 , 14 : 09 - Bullo1 : &#128169;",Insult-General_Insult,Harasser,False,False
D_1,23,"‎27 / 04 / 18 , 14 : 10 - SupportoVittima2 : Cosa ridi","‎27 / 04 / 18 , 14 : 10 - SupportoVittima2 : What are you laughing at ?",Defense,Bystander_defender,False,False
D_1,24,"‎27 / 04 / 18 , 14 : 10 - SupportoVittima2 : Stai zitta","‎27 / 04 / 18 , 14 : 10 - SupportoVittima2 : Shut up.",Curse_or_Exclusion,Bystander_defender,False,False
D_1,25,"‎27 / 04 / 18 , 14 : 10 - Bullo1 : Ma stai zitto tu sfigato","‎27 / 04 / 18 , 14 : 10 - Bullo1 : Shut up you loser!",Insult-General_Insult,Harasser,False,False
D_1,25,"‎27 / 04 / 18 , 14 : 10 - Bullo1 : Ma stai zitto tu sfigato","‎27 / 04 / 18 , 14 : 10 - Bullo1 : Shut up you loser!",Insult-General_Insult,Harasser,False,False
D_1,25,"‎27 / 04 / 18 , 14 : 10 - Bullo1 : Ma stai zitto tu sfigato","‎27 / 04 / 18 , 14 : 10 - Bullo1 : Shut up you loser!",Curse_or_Exclusion,Harasser,False,False
D_1,25,"‎27 / 04 / 18 , 14 : 10 - Bullo1 : Ma stai zitto tu sfigato","‎27 / 04 / 18 , 14 : 10 - Bullo1 : Shut up you loser!",Curse_or_Exclusion,Harasser,False,False
D_1,26,"‎27 / 04 / 18 , 14 : 10 - Bullo2 : arriva il secondo sfigato di turno","‎27 / 04 / 18 , 14 : 10 - Bullo2 : Here comes the second loser on duty",Insult-General_Insult,Harasser,False,False
D_1,27,"‎27 / 04 / 18 , 14 : 10 - SupportoBullo1 : Haha é già","27 / 04 / 18 , 14 : 10 - SupportoBullo1 : Haha Yep",Encouragement_to_the_Harasser,Bystander_assistant,False,False
D_1,28,"‎27 / 04 / 18 , 14 : 11 - SupportoVittima2 : Se Non la smetti la vedrai con tutti noi","‎27 / 04 / 18 , 14 : 11 - SupportoVittima2 : If you don't stop, you'll have to deal with all of us",Threat_or_Blackmail,Bystander_defender,False,False
D_1,29,"‎27 / 04 / 18 , 14 : 11 - Bullo1 : A si con i vostri amici sfigati che","‎27 / 04 / 18 , 14 : 11 - Bullo1 : Oh yes, with your friends losers who…",Insult-Attacking_relatives,Harasser,False,False
D_1,31,"‎27 / 04 / 18 , 14 : 11 - Bullo1 : Non sanno amnco tirare un pugno","‎27 / 04 / 18 , 14 : 11 - Bullo1 : They can't even throw a punch",Defamation,Harasser,False,False
D_1,37,"‎27 / 04 / 18 , 14 : 12 - SupportoVittima2 : Sfigata","‎27 / 04 / 18 , 14 : 12 - SupportoVittima2 : Loser",Insult-General_Insult,Bystander_defender,False,False
D_1,39,"‎27 / 04 / 18 , 14 : 12 - SupportoVittima2 : Stai zitta","‎27 / 04 / 18 , 14 : 12 - SupportoVittima2 : Shut up!",Curse_or_Exclusion,Bystander_defender,False,False
D_1,42,"‎27 / 04 / 18 , 14 : 12 - SupportoVittima2 : Vai a vagare &#128169;","‎27 / 04 / 18 , 14 : 12 - SupportoVittima2 : F**k off &#128169;",Insult-General_Insult,Bystander_defender,False,False
D_1,43,"‎27 / 04 / 18 , 14 : 12 - SupportoBullo1 : Almeno non sembriamo un elefante","‎27 / 04 / 18 , 14 : 12 - SupportoBullo1 : At least we do not look like an elephant",Insult-BodyShame,Bystander_assistant,False,False
D_1,50,"‎27 / 04 / 18 , 14 : 15 - SupportoBullo1 : O come Pagliaccio ?","‎27 / 04 / 18 , 14 : 15 - SupportoBullo1 : Or as a clown?",Insult-General_Insult,Bystander_assistant,False,False
D_1,56,"‎27 / 04 / 18 , 14 : 15 - SupportoVittima2 : State zitte sfigate","‎27 / 04 / 18 , 14 : 15 - SupportoVittima2 : Shut up you losers",Curse_or_Exclusion,Bystander_defender,False,False
D_1,56,"‎27 / 04 / 18 , 14 : 15 - SupportoVittima2 : State zitte sfigate","‎27 / 04 / 18 , 14 : 15 - SupportoVittima2 : Shut up you losers",Curse_or_Exclusion,Bystander_defender,False,False
D_1,56,"‎27 / 04 / 18 , 14 : 15 - SupportoVittima2 : State zitte sfigate","‎27 / 04 / 18 , 14 : 15 - SupportoVittima2 : Shut up you losers",Insult-General_Insult,Bystander_defender,False,False
D_1,56,"‎27 / 04 / 18 , 14 : 15 - SupportoVittima2 : State zitte sfigate","‎27 / 04 / 18 , 14 : 15 - SupportoVittima2 : Shut up you losers",Insult-General_Insult,Bystander_defender,False,False
D_1,61,"‎27 / 04 / 18 , 14 : 16 - SupportoBullo1 : Cerchi le botte come il tuo amico ? !","‎27 / 04 / 18 , 14 : 16 - SupportoBullo1 : Are you looking for a beating like your friend? !",Threat_or_Blackmail,Bystander_assistant,False,False
D_1,62,"‎27 / 04 / 18 , 14 : 17 - Bullo1 : Appena incontro Vittima lo riempio di botte","‎27 / 04 / 18 , 14 : 17 - Bullo1 : As soon as I meet Vittima I beat him up.",Threat_or_Blackmail,Harasser,False,False
D_1,63,"‎27 / 04 / 18 , 14 : 17 - SupportoBullo2 : O SupportoVittima2 doma ti pesto","‎27 / 04 / 18 , 14 : 17 - SupportoBullo2 : You, SupportoVittima2 tomorrow I'll beat you up",Threat_or_Blackmail,Bystander_assistant,False,False
D_1,64,"‎27 / 04 / 18 , 14 : 17 - Vittima : ma che ho fatto di male ?","‎27 / 04 / 18 , 14 : 17 - Vittima : what did I do wrong?",Defense,Victim,False,False
D_1,65,"‎27 / 04 / 18 , 14 : 17 - SupportoVittima2 : Avete rotto lesbiche","‎27 / 04 / 18 , 14 : 17 - SupportoVittima2 : I am fed up, lesbians",Defense,Bystander_defender,False,False
D_1,65,"‎27 / 04 / 18 , 14 : 17 - SupportoVittima2 : Avete rotto lesbiche","‎27 / 04 / 18 , 14 : 17 - SupportoVittima2 : I am fed up, lesbians",Defense,Bystander_defender,False,False
