File,SentenceNumber,Sentence,Translation,TimeStamp,author,raw,authorEmoji,textEmoji,authorNon,textNon
A_1,0,Vittima : Ciao . . . volevo invitarvi al saggio di danza classica sabato 3 marzo . . . mi farebbe molto piacere . . . mi vergogno un po' . 🤭,"Vittima : Hi . . . I wanted to invite you to the ballet recital on Saturday, March 3 . . . it would make me very happy . . . I'm a little embarrassed . ��",empty,Vittima , Ciao . . . volevo invitarvi al saggio di danza classica sabato 3 marzo . . . mi farebbe molto piacere . . . mi vergogno un po' . 🤭,Vittima,Ciao . . . volevo invitarvi al saggio di danza classica sabato 3 marzo . . . mi farebbe molto piacere . . . mi vergogno un po' . 🤭,Vittima,Ciao . . . volevo invitarvi al saggio di danza classica sabato 3 marzo . . . mi farebbe molto piacere . . . mi vergogno un po' . 🤭
A_1,1,Vittima : WA0001 . jpg ( file allegato ),Vittima : WA0001 . jpg (file attached),empty,Vittima , WA0001 . jpg ( file allegato ),Vittima,WA0001 . jpg ( file allegato ),Vittima,WA0001 . jpg ( file allegato )
A_1,2,‪SupportoVittima1‬ : Chiedo a mia mamma e to farò sapere,‪SupportoVittima1 : I’ll ask my mom and I'll let you know,empty,‪SupportoVittima1‬ , Chiedo a mia mamma e to farò sapere,‪SupportoVittima1‬,Chiedo a mia mamma e to farò sapere,‪SupportoVittima1‬,Chiedo a mia mamma e to farò sapere
A_1,3,Vittima : Grazie SupportoVittima1 !,Vittima : Thanks SupportoVittima1!,empty,Vittima , Grazie SupportoVittima1 !,Vittima,Grazie SupportoVittima1 !,Vittima,Grazie SupportoVittima1 !
A_1,4,‪Bullo1‬ : Ah un saggio di danza,‪Bullo1 : Ah a dance recital,empty,‪Bullo1‬ , Ah un saggio di danza,‪Bullo1‬,Ah un saggio di danza,‪Bullo1‬,Ah un saggio di danza
A_1,5,‪Bullo1‬ : Tu,‪Bullo1 : You,empty,‪Bullo1‬ , Tu,‪Bullo1‬,Tu,‪Bullo1‬,Tu
A_1,6,‪Bullo1‬ : Tu che sei un maschio,‪Bullo1 : You who are a male,empty,‪Bullo1‬ , Tu che sei un maschio,‪Bullo1‬,Tu che sei un maschio,‪Bullo1‬,Tu che sei un maschio
A_1,7,‪SupportoBullo2‬ : Infatti ti sembra normale ? ? &#128514; &#128514;,"‪SupportoBullo2 : Actually, does it seem normal to you? ? &#128514;  &#128514",empty,‪SupportoBullo2‬ , Infatti ti sembra normale ? ? &#128514; &#128514;,‪SupportoBullo2‬,Infatti ti sembra normale ? ? 😂 😂,‪SupportoBullo2‬,Infatti ti sembra normale ? ?  
A_1,8,‪SupportoVittima3‬ : Grazie Vittima ci sarò sicuramente,‪SupportoVittima3 : Thanks Vittima I will definitely be there,empty,‪SupportoVittima3‬ , Grazie Vittima ci sarò sicuramente,‪SupportoVittima3‬,Grazie Vittima ci sarò sicuramente,‪SupportoVittima3‬,Grazie Vittima ci sarò sicuramente
A_1,9,‪Bullo1‬ : No è da femmine,"‪Bullo1 : No, it's for girls.",empty,‪Bullo1‬ , No è da femmine,‪Bullo1‬,No è da femmine,‪Bullo1‬,No è da femmine
A_1,10,‪Bullo1‬ : Poi me lo immagino con i leggins,‪Bullo1 : Then I imagine him wearing  leggings.,empty,‪Bullo1‬ , Poi me lo immagino con i leggins,‪Bullo1‬,Poi me lo immagino con i leggins,‪Bullo1‬,Poi me lo immagino con i leggins
A_1,11,‪Bullo1‬ : E il tutù,‪Bullo1 : What about the tutu?,empty,‪Bullo1‬ , E il tutù,‪Bullo1‬,E il tutù,‪Bullo1‬,E il tutù
A_1,12,‪Bullo1‬ : &#128514; &#128514; &#128514; &#128514;,‪Bullo1‬ : &#128514; &#128514; &#128514; &#128514;,empty,‪Bullo1‬ , &#128514; &#128514; &#128514; &#128514;,‪Bullo1‬,😂 😂 😂 😂,‪Bullo1‬,   
A_1,13,‪SupportoBullo2‬ : che balla come un idiota &#128514;,‪SupportoBullo2 : who dances like an idiot &#128514,empty,‪SupportoBullo2‬ , che balla come un idiota &#128514;,‪SupportoBullo2‬,che balla come un idiota 😂,‪SupportoBullo2‬,che balla come un idiota 
A_1,14,Vittima : Ma cosa c'è di male ?,Vittima : What's wrong with that?,empty,Vittima , Ma cosa c'è di male ?,Vittima,Ma cosa c'è di male ?,Vittima,Ma cosa c'è di male ?
A_1,15,‪Bullo1‬ : Tu in punte,‪Bullo1 : You on tips (en pointe?),empty,‪Bullo1‬ , Tu in punte,‪Bullo1‬,Tu in punte,‪Bullo1‬,Tu in punte
A_1,16,‪SupportoVittima3‬ : Vittima non ascoltarli,"‪SupportoVittima3 : Vittima, don't listen to them.",empty,‪SupportoVittima3‬ , Vittima non ascoltarli,‪SupportoVittima3‬,Vittima non ascoltarli,‪SupportoVittima3‬,Vittima non ascoltarli
A_1,17,‪Bullo1‬ : Ma vai a fae calcio femminuccia che non sei altro,"‪Bullo1 : Go play soccer, you sissy!",empty,‪Bullo1‬ , Ma vai a fae calcio femminuccia che non sei altro,‪Bullo1‬,Ma vai a fae calcio femminuccia che non sei altro,‪Bullo1‬,Ma vai a fae calcio femminuccia che non sei altro
