File,SentenceNumber,Sentence,Translation,TimeStamp,author,raw,authorEmoji,textEmoji,authorNon,textNon
B_1,0,"‎24 / 04 / 18 , 13 : 53 - Bullo1 : Secchio . . . . Dovevi fare la spia . . . . . Sfigato","‎24 / 04 / 18 , 13 : 53 - Bullo1 : Nerd. . . . You had to be a snitch. . . . . Loser","24 / 04 / 18 , 13 : 53", - Bullo1 , Nerd. . . . You had to be a snitch. . . . . Loser,- Bullo1,Nerd. . . . You had to be a snitch. . . . . Loser,- Bullo1,Nerd. . . . You had to be a snitch. . . . . Loser
B_1,1,"‎24 / 04 / 18 , 13 : 54 - Vittima : guarda che l'ho fatto per voi","‎24 / 04 / 18 , 13 : 54 - Vittima : I did it for you, you know","24 / 04 / 18 , 13 : 54", - Vittima ," I did it for you, you know",- Vittima,"I did it for you, you know",- Vittima,"I did it for you, you know"
B_1,2,"‎24 / 04 / 18 , 13 : 54 - Vittima : fa male fumare , non te l'ha detto mai nessuno ?","‎24 / 04 / 18 , 13 : 54 - Vittima : It's bad for you to smoke, hasn't anyone ever told you that?","24 / 04 / 18 , 13 : 54", - Vittima ," It's bad for you to smoke, hasn't anyone ever told you that?",- Vittima,"It's bad for you to smoke, hasn't anyone ever told you that?",- Vittima,"It's bad for you to smoke, hasn't anyone ever told you that?"
B_1,3,"‎24 / 04 / 18 , 13 : 55 - Bullo1 : Brutto sfigato . . . . . Non me ne frega . . . . Fatti i c***i tuoi","‎24 / 04 / 18 , 13 : 55 - Bullo1 : Ugly loser . . . . . I don't care . . . . Mind your own business","24 / 04 / 18 , 13 : 55", - Bullo1 , Ugly loser . . . . . I don't care . . . . Mind your own business,- Bullo1,Ugly loser . . . . . I don't care . . . . Mind your own business,- Bullo1,Ugly loser . . . . . I don't care . . . . Mind your own business
B_1,4,"‎24 / 04 / 18 , 13 : 56 - SupportoVittima1 : Già , poi a scuola non si portano sigarette","‎24 / 04 / 18 , 13 : 56 - SupportoVittima1 : Yeah, and you don't bring cigarettes to school.","24 / 04 / 18 , 13 : 56", - SupportoVittima1 ," Yeah, and you don't bring cigarettes to school.",- SupportoVittima1,"Yeah, and you don't bring cigarettes to school.",- SupportoVittima1,"Yeah, and you don't bring cigarettes to school."
B_1,5,"‎24 / 04 / 18 , 13 : 56 - Vittima : Troppo tardi mi sa &#128524;","‎24 / 04 / 18 , 13 : 56 - Vittima : Too late I guess &#128524;","24 / 04 / 18 , 13 : 56", - Vittima , Too late I guess &#128524;,- Vittima,Too late I guess 😌,- Vittima,Too late I guess 
B_1,6,"‎24 / 04 / 18 , 13 : 58 - Bullo1 : Appena ti becco fuori da scuola ! te la ficco in bocca la sigaretta","‎24 / 04 / 18 , 13 : 58 - Bullo1 : As soon as I catch you out of school! I'll put a cigarette in your mouth.","24 / 04 / 18 , 13 : 58", - Bullo1 , As soon as I catch you out of school! I'll put a cigarette in your mouth.,- Bullo1,As soon as I catch you out of school! I'll put a cigarette in your mouth.,- Bullo1,As soon as I catch you out of school! I'll put a cigarette in your mouth.
B_1,7,"‎24 / 04 / 18 , 13 : 59 - Vittima : ma se non sai neanche accenderla","‎24 / 04 / 18 , 13 : 59 - Vittima : but if you can't even light it up","24 / 04 / 18 , 13 : 59", - Vittima , but if you can't even light it up,- Vittima,but if you can't even light it up,- Vittima,but if you can't even light it up
B_1,8,"‎24 / 04 / 18 , 13 : 59 - Vittima : siete invidiosi perché vado bene a scuola , tutto qua","‎24 / 04 / 18 , 13 : 59 - Vittima : You are jealous because I do well in school, that's all.","24 / 04 / 18 , 13 : 59", - Vittima ," You are jealous because I do well in school, that's all.",- Vittima,"You are jealous because I do well in school, that's all.",- Vittima,"You are jealous because I do well in school, that's all."
B_1,9,"‎24 / 04 / 18 , 14 : 00 - Bullo1 : Sei solo un secchio , non hai amici , e fai schifo ooooo ! ! ! &#128545; &#128545; &#128545; &#128545;","‎24 / 04 / 18 , 14 : 00 - Bullo1 : You are just a nerd  , you have no friends , and you suck ! ! ! &#128545; &#128545; &#128545; &#128545;","24 / 04 / 18 , 14 : 00", - Bullo1 ," You are just a nerd  , you have no friends , and you suck ! ! ! &#128545; &#128545; &#128545; &#128545;",- Bullo1,"You are just a nerd , you have no friends , and you suck ! ! ! 😡 😡 😡 😡",- Bullo1,"You are just a nerd , you have no friends , and you suck ! ! !    "
B_1,10,"‎24 / 04 / 18 , 14 : 00 - SupportoBullo1 : La smettete di prendere in giro Vittima","‎24 / 04 / 18 , 14 : 00 - SupportoBullo1 : Will you stop making fun of Vittima","24 / 04 / 18 , 14 : 00", - SupportoBullo1 , Will you stop making fun of Vittima,- SupportoBullo1,Will you stop making fun of Vittima,- SupportoBullo1,Will you stop making fun of Vittima
B_1,11,"‎24 / 04 / 18 , 14 : 02 - Bullo1 : Cosa vuoi tu non lo conosci nemmeno , siete tutti è due sfigati cronici &#128514; &#129299; &#129299; &#129299; &#129299; &#129299;","‎24 / 04 / 18 , 14 : 02 - Bullo1 : What do you want, you don't even know him, you are both chronic losers &#128514; &#129299; &#129299; &#129299; &#129299; &#129299;","24 / 04 / 18 , 14 : 02", - Bullo1 ," What do you want, you don't even know him, you are both chronic losers &#128514; &#129299; &#129299; &#129299; &#129299; &#129299;",- Bullo1,"What do you want, you don't even know him, you are both chronic losers 😂 🤓 🤓 🤓 🤓 🤓",- Bullo1,"What do you want, you don't even know him, you are both chronic losers      "
