File,SentenceNumber,Sentence,Translation,TimeStamp,author,raw,authorEmoji,textEmoji,authorNon,textNon
C_1,0,"‎28 / 04 / 18 , 14 : 18 - Bullo2 : Vaffanculo Vittima nessuno vuole fare i compiti","‎28 / 04 / 18 , 14 : 18 - Bullo2 : Fuck off Vittima, no one wants to do homework","28 / 04 / 18 , 14 : 18", - Bullo2 ," Fuck off Vittima, no one wants to do homework",- Bullo2,"Fuck off Vittima, no one wants to do homework",- Bullo2,"Fuck off Vittima, no one wants to do homework"
C_1,1,"‎28 / 04 / 18 , 14 : 19 - SupportoBullo3 : Infatti ma stai zitto e non studiare sempre bravo Bullo2 così si fai","‎28 / 04 / 18 , 14 : 19 - SupportoBullo3 : In fact, shut up and do not study all the time , good Bullo2, there you go","28 / 04 / 18 , 14 : 19", - SupportoBullo3 ," In fact, shut up and do not study all the time , good Bullo2, there you go",- SupportoBullo3,"In fact, shut up and do not study all the time , good Bullo2, there you go",- SupportoBullo3,"In fact, shut up and do not study all the time , good Bullo2, there you go"
C_1,2,"‎28 / 04 / 18 , 14 : 19 - SupportoBullo1 : Quasi quasi verrei lì da te e te li farei fare tutti i nostri compiti in più crepa","‎28 / 04 / 18 , 14 : 19 - SupportoBullo1 : I almost would come to you and I would make you do all our extra homework. Die.","28 / 04 / 18 , 14 : 19", - SupportoBullo1 , I almost would come to you and I would make you do all our extra homework. Die.,- SupportoBullo1,I almost would come to you and I would make you do all our extra homework. Die.,- SupportoBullo1,I almost would come to you and I would make you do all our extra homework. Die.
C_1,3,"‎28 / 04 / 18 , 14 : 20 - SupportoBullo3 : Ecco secchione da schifo","‎28 / 04 / 18 , 14 : 20 - SupportoBullo3 : Here's shitty nerd.","28 / 04 / 18 , 14 : 20", - SupportoBullo3 , Here's shitty nerd.,- SupportoBullo3,Here's shitty nerd.,- SupportoBullo3,Here's shitty nerd.
C_1,4,"‎28 / 04 / 18 , 14 : 20 - SupportoVittima1 : Ogniuno si deve fare i propti compiti pk cosí si impara qualcosa","‎28 / 04 / 18 , 14 : 20 - SupportoVittima1 : Everyone has to do their homework, because that is how they can learn something.","28 / 04 / 18 , 14 : 20", - SupportoVittima1 ," Everyone has to do their homework, because that is how they can learn something.",- SupportoVittima1,"Everyone has to do their homework, because that is how they can learn something.",- SupportoVittima1,"Everyone has to do their homework, because that is how they can learn something."
C_1,5,"‎28 / 04 / 18 , 14 : 20 - Bullo2 : MinChia pure tua madre se mi sta sul c***o","‎28 / 04 / 18 , 14 : 20 - Bullo2 : F**k your mother too, if she's on my ass!","28 / 04 / 18 , 14 : 20", - Bullo2 ," F**k your mother too, if she's on my ass!",- Bullo2,"F**k your mother too, if she's on my ass!",- Bullo2,"F**k your mother too, if she's on my ass!"
C_1,6,"‎28 / 04 / 18 , 14 : 21 - SupportoBullo1 : Tutta colpa tua ora non ho mai tempo libero solo perché devo fare sto cazzo di compiti che per colpa tua facciamo","‎28 / 04 / 18 , 14 : 21 - SupportoBullo1 : It is all your fault now,  I never have free time just because I have to do this f***ing homework that we do because of you","28 / 04 / 18 , 14 : 21", - SupportoBullo1 ," It is all your fault now,  I never have free time just because I have to do this f***ing homework that we do because of you",- SupportoBullo1,"It is all your fault now, I never have free time just because I have to do this f***ing homework that we do because of you",- SupportoBullo1,"It is all your fault now, I never have free time just because I have to do this f***ing homework that we do because of you"
C_1,7,"‎28 / 04 / 18 , 14 : 21 - SupportoBullo3 : Si ma non si può star a casa tutto il giorno a studiare si deve essere così stupidi","‎28 / 04 / 18 , 14 : 21 - SupportoBullo3 : yeah but you can't stay home all day and study, you must be so stupid","28 / 04 / 18 , 14 : 21", - SupportoBullo3 ," yeah but you can't stay home all day and study, you must be so stupid",- SupportoBullo3,"yeah but you can't stay home all day and study, you must be so stupid",- SupportoBullo3,"yeah but you can't stay home all day and study, you must be so stupid"
C_1,8,"‎28 / 04 / 18 , 14 : 21 - SupportoBullo1 : Non poteva starsene zitta poi","‎28 / 04 / 18 , 14 : 21 - SupportoBullo1 : She could not stay silent then","28 / 04 / 18 , 14 : 21", - SupportoBullo1 , She could not stay silent then,- SupportoBullo1,She could not stay silent then,- SupportoBullo1,She could not stay silent then
C_1,9,"‎28 / 04 / 18 , 14 : 22 - Bullo2 : I libri dei compiti te li infiliamo su per il . . .","‎28 / 04 / 18 , 14 : 22 - Bullo2 : We'll shove your homework books up your...","28 / 04 / 18 , 14 : 22", - Bullo2 , We'll shove your homework books up your...,- Bullo2,We'll shove your homework books up your...,- Bullo2,We'll shove your homework books up your...
C_1,10,"‎28 / 04 / 18 , 14 : 22 - SupportoVittima1 : Poi non rompete a Vittima pk si vede che lui studia e coi no","‎28 / 04 / 18 , 14 : 22 - SupportoVittima1 : Then don't bother Vittima because it is clear that he studies and you don't","28 / 04 / 18 , 14 : 22", - SupportoVittima1 , Then don't bother Vittima because it is clear that he studies and you don't,- SupportoVittima1,Then don't bother Vittima because it is clear that he studies and you don't,- SupportoVittima1,Then don't bother Vittima because it is clear that he studies and you don't
C_1,11,"‎28 / 04 / 18 , 14 : 22 - Bullo2 : Ma che casso c'è ne frega che lui studia e noi no Mona","‎28 / 04 / 18 , 14 : 22 - Bullo2 : What the hell do we care if he studies and we don't, bitch?","28 / 04 / 18 , 14 : 22", - Bullo2 ," What the hell do we care if he studies and we don't, bitch?",- Bullo2,"What the hell do we care if he studies and we don't, bitch?",- Bullo2,"What the hell do we care if he studies and we don't, bitch?"
C_1,12,"‎28 / 04 / 18 , 14 : 23 - SupportoBullo3 : Ma stai zitta tu e il tuo fidanzato che studia","‎28 / 04 / 18 , 14 : 23 - SupportoBullo3 : Shut up, you and your boyfriend who studies","28 / 04 / 18 , 14 : 23", - SupportoBullo3 ," Shut up, you and your boyfriend who studies",- SupportoBullo3,"Shut up, you and your boyfriend who studies",- SupportoBullo3,"Shut up, you and your boyfriend who studies"
C_1,13,"‎28 / 04 / 18 , 14 : 23 - Bullo2 : Vittima coglione","‎28 / 04 / 18 , 14 : 23 - Bullo2 : Vittima asshole","28 / 04 / 18 , 14 : 23", - Bullo2 , Vittima asshole,- Bullo2,Vittima asshole,- Bullo2,Vittima asshole
C_1,14,"‎28 / 04 / 18 , 14 : 23 - SupportoBullo3 : Hahahahah hai ragione","‎28 / 04 / 18 , 14 : 23 - SupportoBullo3 : Hahahah you are right","28 / 04 / 18 , 14 : 23", - SupportoBullo3 , Hahahah you are right,- SupportoBullo3,Hahahah you are right,- SupportoBullo3,Hahahah you are right
C_1,15,"‎28 / 04 / 18 , 14 : 24 - Vittima : ma non è colpa mia !","‎28 / 04 / 18 , 14 : 24 - Vittima : But it's not my fault!","28 / 04 / 18 , 14 : 24", - Vittima , But it's not my fault!,- Vittima,But it's not my fault!,- Vittima,But it's not my fault!
C_1,16,"‎28 / 04 / 18 , 14 : 24 - Vittima : perché ve la prendete con me","‎28 / 04 / 18 , 14 : 24 - Vittima : Why are you targeting me?","28 / 04 / 18 , 14 : 24", - Vittima , Why are you targeting me?,- Vittima,Why are you targeting me?,- Vittima,Why are you targeting me?
C_1,17,"‎28 / 04 / 18 , 14 : 24 - Bullo2 : No è di chi","‎28 / 04 / 18 , 14 : 24 - Bullo2 : No it's whose","28 / 04 / 18 , 14 : 24", - Bullo2 , No it's whose,- Bullo2,No it's whose,- Bullo2,No it's whose
C_1,18,"‎28 / 04 / 18 , 14 : 24 - Vittima : è stata mia madre","‎28 / 04 / 18 , 14 : 24 - Vittima : it was my mother","28 / 04 / 18 , 14 : 24", - Vittima , it was my mother,- Vittima,it was my mother,- Vittima,it was my mother
C_1,19,"‎28 / 04 / 18 , 14 : 24 - SupportoVittima1 : 1 cosa NON é il mio fidanzato","‎28 / 04 / 18 , 14 : 24 - SupportoVittima1 : First thing he is not my boyfriend","28 / 04 / 18 , 14 : 24", - SupportoVittima1 , First thing he is not my boyfriend,- SupportoVittima1,First thing he is not my boyfriend,- SupportoVittima1,First thing he is not my boyfriend
C_1,20,"‎28 / 04 / 18 , 14 : 24 - Vittima : ma io non ho fatto niente","‎28 / 04 / 18 , 14 : 24 - Vittima : but I have not done anything","28 / 04 / 18 , 14 : 24", - Vittima , but I have not done anything,- Vittima,but I have not done anything,- Vittima,but I have not done anything
C_1,21,"‎28 / 04 / 18 , 14 : 24 - Bullo2 : Tua madre fa schifo quanto te","‎28 / 04 / 18 , 14 : 24 - Bullo2 : Your mother sucks as much as you do","28 / 04 / 18 , 14 : 24", - Bullo2 , Your mother sucks as much as you do,- Bullo2,Your mother sucks as much as you do,- Bullo2,Your mother sucks as much as you do
C_1,22,"‎28 / 04 / 18 , 14 : 25 - Vittima : non offendere mia madre","‎28 / 04 / 18 , 14 : 25 - Vittima : do not offend my mother","28 / 04 / 18 , 14 : 25", - Vittima , do not offend my mother,- Vittima,do not offend my mother,- Vittima,do not offend my mother
C_1,23,"‎28 / 04 / 18 , 14 : 25 - SupportoBullo3 : Hahahaha che bacia ancora con la mamma chiamiamo l'ambulagna","‎28 / 04 / 18 , 14 : 25 - SupportoBullo3 : Hahaha still kissing with mom, let's call the ambulance","28 / 04 / 18 , 14 : 25", - SupportoBullo3 ," Hahaha still kissing with mom, let's call the ambulance",- SupportoBullo3,"Hahaha still kissing with mom, let's call the ambulance",- SupportoBullo3,"Hahaha still kissing with mom, let's call the ambulance"
C_1,24,"‎28 / 04 / 18 , 14 : 25 - Bullo2 : Sempre li a studiare stai ma fatti una vita cazzo","‎28 / 04 / 18 , 14 : 25 - Bullo2 : You're always studying, but live a f***ing life.","28 / 04 / 18 , 14 : 25", - Bullo2 ," You're always studying, but live a f***ing life.",- Bullo2,"You're always studying, but live a f***ing life.",- Bullo2,"You're always studying, but live a f***ing life."
C_1,25,"‎28 / 04 / 18 , 14 : 25 - SupportoVittima1 : Lo volete ccapire che non é colpa sua ma di sua madre","‎28 / 04 / 18 , 14 : 25 - SupportoVittima1 : Do you understand that it's not his fault, it's his mother's fault.","28 / 04 / 18 , 14 : 25", - SupportoVittima1 ," Do you understand that it's not his fault, it's his mother's fault.",- SupportoVittima1,"Do you understand that it's not his fault, it's his mother's fault.",- SupportoVittima1,"Do you understand that it's not his fault, it's his mother's fault."
C_1,26,"‎28 / 04 / 18 , 14 : 25 - Vittima : ma cosa vuoi tu","‎28 / 04 / 18 , 14 : 25 - Vittima : What do you want","28 / 04 / 18 , 14 : 25", - Vittima , What do you want,- Vittima,What do you want,- Vittima,What do you want
C_1,27,"‎28 / 04 / 18 , 14 : 25 - Vittima : a me piace studiare","28 / 04 / 18 , 14 : 25 - Vittima : I like to study","28 / 04 / 18 , 14 : 25", - Vittima , I like to study,- Vittima,I like to study,- Vittima,I like to study
C_1,28,"‎28 / 04 / 18 , 14 : 25 - Bullo2 : Io offendo chi voglio","‎28 / 04 / 18 , 14 : 25 - Bullo2 : I offend whoever I want","28 / 04 / 18 , 14 : 25", - Bullo2 , I offend whoever I want,- Bullo2,I offend whoever I want,- Bullo2,I offend whoever I want
C_1,29,"‎28 / 04 / 18 , 14 : 25 - Bullo2 : Studia studia poi tanto da grande pulirai i cessi","‎28 / 04 / 18 , 14 : 25 - Bullo2 : Study, study. When you grow up you'll be cleaning toilets anyway.","28 / 04 / 18 , 14 : 25", - Bullo2 ," Study, study. When you grow up you'll be cleaning toilets anyway.",- Bullo2,"Study, study. When you grow up you'll be cleaning toilets anyway.",- Bullo2,"Study, study. When you grow up you'll be cleaning toilets anyway."
C_1,30,"‎28 / 04 / 18 , 14 : 25 - Vittima : magari vi fa bene studiare un po'","‎28 / 04 / 18 , 14 : 25 - Vittima : Maybe it's good for you to study a little.","28 / 04 / 18 , 14 : 25", - Vittima , Maybe it's good for you to study a little.,- Vittima,Maybe it's good for you to study a little.,- Vittima,Maybe it's good for you to study a little.
C_1,31,"‎28 / 04 / 18 , 14 : 26 - Vittima : visto che non mi sembra siate bravissimi","‎28 / 04 / 18 , 14 : 26 - Vittima : since you don't seem to be very good at it","28 / 04 / 18 , 14 : 26", - Vittima , since you don't seem to be very good at it,- Vittima,since you don't seem to be very good at it,- Vittima,since you don't seem to be very good at it
C_1,32,"‎28 / 04 / 18 , 14 : 26 - Vittima : non è vero","‎28 / 04 / 18 , 14 : 26 - Vittima : It's not true.","28 / 04 / 18 , 14 : 26", - Vittima , It's not true.,- Vittima,It's not true.,- Vittima,It's not true.
C_1,33,"‎28 / 04 / 18 , 14 : 26 - Vittima : lo dico alla prof che mi offendi","‎28 / 04 / 18 , 14 : 26 - Vittima : I'll tell the teacher that you offend me.","28 / 04 / 18 , 14 : 26", - Vittima , I'll tell the teacher that you offend me.,- Vittima,I'll tell the teacher that you offend me.,- Vittima,I'll tell the teacher that you offend me.
