File,SentenceNumber,Sentence,Translation,TimeStamp,author,raw,authorEmoji,textEmoji,authorNon,textNon
D_1,0,"‎27 / 04 / 18 , 14 : 00 - Bullo1 : Che scemo che eri su quel video","‎27 / 04 / 18 , 14 : 00 - Bullo1 : What a fool you were on that video!","27 / 04 / 18 , 14 : 00", - Bullo1 , What a fool you were on that video!,- Bullo1,What a fool you were on that video!,- Bullo1,What a fool you were on that video!
D_1,1,"‎27 / 04 / 18 , 14 : 01 - Bullo1 : Non sai manco fare una flessione e ora ti metti a ballare","‎27 / 04 / 18 , 14 : 01 - Bullo1 : You don't even know how to do a push-up and now you're dancing.","27 / 04 / 18 , 14 : 01", - Bullo1 , You don't even know how to do a push-up and now you're dancing.,- Bullo1,You don't even know how to do a push-up and now you're dancing.,- Bullo1,You don't even know how to do a push-up and now you're dancing.
D_1,2,"‎27 / 04 / 18 , 14 : 01 - Bullo1 : Ma va ! ! !","‎27 / 04 / 18 , 14 : 01 - Bullo1 : Really ! ! !","27 / 04 / 18 , 14 : 01", - Bullo1 , Really ! ! !,- Bullo1,Really ! ! !,- Bullo1,Really ! ! !
D_1,3,"‎27 / 04 / 18 , 14 : 02 - Bullo2 : sfigato madonna ahahahhaa","‎27 / 04 / 18 , 14 : 02 - Bullo2 : loser gosh ahahahhaa","27 / 04 / 18 , 14 : 02", - Bullo2 , loser gosh ahahahhaa,- Bullo2,loser gosh ahahahhaa,- Bullo2,loser gosh ahahahhaa
D_1,4,"‎27 / 04 / 18 , 14 : 03 - SupportoVittima1 : Grandee &#128514; &#128514;","‎27 / 04 / 18 , 14 : 03 - SupportoVittima1 : Great &#128514; &#128514;","27 / 04 / 18 , 14 : 03", - SupportoVittima1 , Great &#128514; &#128514;,- SupportoVittima1,Great 😂 😂,- SupportoVittima1,Great  
D_1,5,"‎27 / 04 / 18 , 14 : 04 - Bullo2 : i musical . ly sono da femmina","‎27 / 04 / 18 , 14 : 04 - Bullo2 : the musical . ly videos are for girls","27 / 04 / 18 , 14 : 04", - Bullo2 , the musical . ly videos are for girls,- Bullo2,the musical . ly videos are for girls,- Bullo2,the musical . ly videos are for girls
D_1,6,"‎27 / 04 / 18 , 14 : 04 - Bullo2 : poi balli come una vacca in calore dai dai","‎27 / 04 / 18 , 14 : 04 - Bullo2 : You dance like a cow on heat.","27 / 04 / 18 , 14 : 04", - Bullo2 , You dance like a cow on heat.,- Bullo2,You dance like a cow on heat.,- Bullo2,You dance like a cow on heat.
D_1,7,"‎27 / 04 / 18 , 14 : 04 - Vittima : A me sembra di aver ottenuto successo con quel video . . .","‎27 / 04 / 18 , 14 : 04 - Vittima : It seems to me I have achieved success with that video . . .","27 / 04 / 18 , 14 : 04", - Vittima , It seems to me I have achieved success with that video . . .,- Vittima,It seems to me I have achieved success with that video . . .,- Vittima,It seems to me I have achieved success with that video . . .
D_1,8,"‎27 / 04 / 18 , 14 : 05 - Bullo2 : a me sembra proprio che tu abbia ottenuto successo solo tra gli sfigati come te ahahahha","‎27 / 04 / 18 , 14 : 05 - Bullo2 : it seems to me that you only achieved success among losers like you ahahahha","27 / 04 / 18 , 14 : 05", - Bullo2 , it seems to me that you only achieved success among losers like you ahahahha,- Bullo2,it seems to me that you only achieved success among losers like you ahahahha,- Bullo2,it seems to me that you only achieved success among losers like you ahahahha
D_1,9,"‎27 / 04 / 18 , 14 : 05 - Bullo1 : &#129315;","‎27 / 04 / 18 , 14 : 05 - Bullo1 : &#129315;","27 / 04 / 18 , 14 : 05", - Bullo1 , &#129315;,- Bullo1,🤣,- Bullo1,
