File,SentenceNumber,Sentence
A_1,0,Vittima : Ciao . . . volevo invitarvi al saggio di danza classica sabato 3 marzo . . . mi farebbe molto piacere . . . mi vergogno un po' . 🤭
A_1,1,Vittima : WA0001 . jpg ( file allegato )
A_1,2,‪SupportoVittima1‬ : Chiedo a mia mamma e to farò sapere
A_1,3,Vittima : Grazie SupportoVittima1 !
A_1,4,‪Bullo1‬ : Ah un saggio di danza
A_1,5,‪Bullo1‬ : Tu
A_1,6,‪Bullo1‬ : Tu che sei un maschio
A_1,7,‪SupportoBullo2‬ : Infatti ti sembra normale ? ? &#128514; &#128514;
A_1,8,‪SupportoVittima3‬ : Grazie Vittima ci sarò sicuramente
A_1,9,‪Bullo1‬ : No è da femmine
A_1,10,‪Bullo1‬ : Poi me lo immagino con i leggins
A_1,11,‪Bullo1‬ : E il tutù
A_1,12,‪Bullo1‬ : &#128514; &#128514; &#128514; &#128514;
A_1,13,‪SupportoBullo2‬ : che balla come un idiota &#128514;
A_1,14,Vittima : Ma cosa c'è di male ?
A_1,15,‪Bullo1‬ : Tu in punte
A_1,16,‪SupportoVittima3‬ : Vittima non ascoltarli
A_1,17,‪Bullo1‬ : Ma vai a fae calcio femminuccia che non sei altro
A_1,18,‪SupportoBullo2‬ : Bullo1 ha ragione ! ! ! ! !
A_1,19,‪Bullo1‬ : Ovvio
A_1,20,‪Bullo1‬ : ! ! ! ! !
A_1,21,‪Bullo1‬ : Ma poi con chi con altre femmine
A_1,22,‪Bullo1‬ : Tra l'altro femmine come te
A_1,23,‪SupportoBullo2‬ : Oooooooooooooooooo &#128514;
A_1,24,"‪SupportoVittima3‬ : Lasciali stare , se ti piace ballare balla , se ti piace cantare canta , senza pregiudizi &#128076;"
A_1,25,‪Bullo1‬ : Si e tu vai a giocare a rugby
A_1,26,‪Bullo1‬ : Stessa cosa
A_1,27,‪SupportoBullo2‬ : &#128514; &#128514;
A_1,28,‪SupportoBullo2‬ : Smerdati alla grande
A_1,29,Vittima : Grazie . Ma se a me piace ballare e a Bullo1 piace giocare a rugby che problema ci sarebbe ?
A_1,30,‪Bullo1‬ : Che danza non è da maschi
A_1,31,‪Bullo1‬ : Ovvio
A_1,32,"‪SupportoVittima3‬ : E la gente che non si fa MAI , MAI , MAI i cavolacci suoi"
A_1,33,‪Bullo1‬ : Sei così effemminato che intorno a te ci sono più finocchi che in un orto
A_1,34,‪SupportoBullo2‬ : &#128514; &#128514; &#128514; &#128514; &#128514; &#128514; &#128514; &#128514;
A_1,35,‪SupportoVittima1‬ : Ma cosa vi importa a voi se lui balla ? Se non vi piace ballare non andate neanche a vederlo . Io sicuramente ci saró
A_1,36,‪Bullo1‬ : Anche io
A_1,37,‪Bullo1‬ : Ma per ridere e prenderlo in giro
A_1,38,‪SupportoVittima3‬ : Sei un MOSTRO
A_1,39,‪SupportoVittima1‬ : Non ha senso lasciatelo stare
A_1,40,‪SupportoVittima3‬ : Esatto
A_1,41,‪SupportoBullo2‬ : Ci sarò ovviamente alla figuraccia che farà Vittima
A_1,42,‪SupportoVittima3‬ : FORZA Vittima io credo in te
A_1,43,‪SupportoBullo2‬ : L unico finocchio che ballerà insieme alle ragazze
A_1,44,‪SupportoVittima1‬ : Ma vorrei vederti io ballare ! Sicuramente è più bravo di voi
A_1,45,‪Bullo1‬ : Farò stampare Delle magliette con te in tutù
A_1,46,‪SupportoBullo2‬ : Grande Bullo1 &#128514;
A_1,47,‪SupportoVittima3‬ : Invece e` fortunatissimo
A_1,48,‪Bullo1‬ : Ad avere noi che lo insultiamo ?
A_1,49,‪Bullo1‬ : Direi di si
A_1,50,"‪SupportoVittima3‬ : No , ad avere un sacco di ragazze in body che ballano insieme a lui"
A_1,51,‪Bullo1‬ : Ma se è Gay
A_1,52,‪SupportoBullo2‬ : Non gli importa niente delle ragazze ma appena vede un uomo si eccita &#128514;
A_1,53,‪Bullo1‬ : Dallo spalto si vedono solo ragazze
A_1,54,‪Bullo1‬ : Compreso lei
A_1,55,‪SupportoVittima3‬ : Ma cosa vi ha fatto ?
A_1,56,‪Bullo1‬ : Niente stiamo solo dicendo la verità
A_1,57,‪SupportoVittima1‬ : No
A_1,58,‪Bullo1‬ : Si invece
A_1,59,‪SupportoVittima3‬ : Ma se sapete che la VOSTRA verità può fare male a qualcuno tacete e basta dite di non venire e il problema finisce qua`
A_1,60,‪Bullo1‬ : Ma noi verremmo
A_1,61,‪SupportoVittima3‬ : VOSTRA= MENZOGNA
A_1,62,‪Bullo1‬ : Con i nostri bei cori
A_1,63,‪SupportoVittima1‬ : E perché non lo fate ?
A_1,64,‪Bullo1‬ : Cosa
A_1,65,‪Bullo1‬ : ? ? ?
A_1,66,‪SupportoVittima1‬ : Quello che ha detto SupportoVittima3
A_1,67,‪Bullo2‬ : Ma smettetela è una cosa stupida ! ! Ve lo immaginate lui che balla ? ? ?
A_1,68,WA0004 . jpg ( file allegato )
A_1,69,‪Bullo2‬ : Farebbe troppo ridere &#128514; &#128514; &#128514;
A_1,70,‪SupportoVittima3‬ : Si e secondo me è anche bravo
A_1,71,Vittima : Ma se non mi avete mai visto ballare come potete giudicare ?
A_1,72,Vittima : Venite al saggio e poi ne riparliamo .
A_1,73,‪Bullo1‬ : Perfetto
A_1,74,‪Bullo2‬ : Ma figurati
A_1,75,‪Bullo2‬ : Lui ? Bravo ? Si a fare figuracce di sicuro
A_1,76,‪Bullo1‬ : Vedremo quanto sei brava Vittima
A_1,77,‪Bullo2‬ : Già bravissima immagino
A_1,78,‪SupportoBullo2‬ : &#128514; &#128514;
A_1,79,‪Bullo2‬ : Facevi meglio a non chiedercelo
A_1,80,‪Bullo1‬ : Si
A_1,81,‪SupportoBullo2‬ : Non avresti fatto la figura del deficiente ballerino
A_1,82,‪SupportoVittima3‬ : Forse non lo sai ma lr persone cone voi fanno così perché sono insicuri di tutto e si divertono a passare a qeste incertezze a la gente +debole
A_1,83,‪SupportoVittima3‬ : Senza offesa Vittima
A_1,84,‪Bullo2‬ : Io già me lo immagino tutto rosso in viso che balla come un femminuccia &#128514; &#128514; &#128514;
A_1,85,‪Bullo2‬ : Smettila di difenderlo tanto lo sai anche tu che verrà fuori una schifezza
A_1,86,‪SupportoVittima3‬ : Se si vergognava non vi avrebbe invitato
A_1,87,‪SupportoVittima3‬ : Non è vero
A_1,88,‪Bullo2‬ : Rido solo a pensarci
A_1,89,‪SupportoVittima3‬ : Comunque anche se sbaglierà dei passi si sarà impegnato e gia questo é un miglioramento
A_1,90,‪SupportoVittima1‬ : Ma che ne sai ? Lo hai già visto ballare ?
A_1,91,WA0005 . jpg ( file allegato )
A_1,92,‪SupportoBullo2‬ : ‎Vittima al saggio &#128514; &#128514;
A_1,93,‪Bullo2‬ : &#128514; &#128514; &#128514;
A_1,94,‪Bullo2‬ : Di sicuro un cane è più bravo di lui
A_1,95,‪SupportoBullo2‬ : Con la grazia di un elefante &#128514;
A_1,96,‪SupportoVittima1‬ : Ma se diventasse come Roberto Bolle ?
A_1,97,Vittima : Vabbè . . . mi sa che c'è gente invidiosa . . .
A_1,98,Vittima : Grazie a SupportoVittima1 e SupportoVittima3 . Per gli altri e le altre . . . vado ad allenarmi .
A_1,99,"Vittima : Se volete vedere di persona , vi aspetto al saggio ."
A_1,100,‪SupportoBullo2‬ : Chi cacchio è il più finocchio dell universo ?
A_1,101,‪SupportoVittima3‬ : Okay ci sarò a fare il tifo x te ( in modo positivo )
