File,SentenceNumber,Sentence,EntityType,Role,Sarcasm,Non-Offensive
A_1,6,‪Bullo1‬ : Tu che sei un maschio,Insult-Discrimination-Sexism,Harasser,False,False
A_1,7,‪SupportoBullo2‬ : Infatti ti sembra normale ? ? 😂 😂,Insult-Discrimination-Sexism,Bystander_assistant,False,False
A_1,9,‪Bullo1‬ : No è da femmine,Insult-Discrimination-Sexism,Harasser,False,False
A_1,13,‪SupportoBullo2‬ : che balla come un idiota 😂,Insult-General_Insult,Bystander_assistant,False,False
A_1,14,Vittima : Ma cosa c'è di male ?,Defense,Victim,False,False
A_1,16,‪SupportoVittima3‬ : Vittima non ascoltarli,Defense,Bystander_defender,False,False
A_1,17,‪Bullo1‬ : Ma vai a fae calcio femminuccia che non sei altro,Insult-Discrimination-Sexism,Harasser,False,False
A_1,18,‪SupportoBullo2‬ : Bullo1 ha ragione ! ! ! ! !,Encouragement_to_the_Harasser,Bystander_assistant,False,False
A_1,22,‪Bullo1‬ : Tra l'altro femmine come te,Insult-Discrimination-Sexism,Harasser,False,False
A_1,24,"‪SupportoVittima3‬ : Lasciali stare , se ti piace ballare balla , se ti piace cantare canta , senza pregiudizi 👌",Defense,Bystander_defender,False,False
A_1,28,‪SupportoBullo2‬ : Smerdati alla grande,Insult-General_Insult,Bystander_assistant,False,False
A_1,29,Vittima : Grazie . Ma se a me piace ballare e a Bullo1 piace giocare a rugby che problema ci sarebbe ?,Defense,Victim,False,False
A_1,33,‪Bullo1‬ : Sei così effemminato che intorno a te ci sono più finocchi che in un orto,Insult-Discrimination-Sexism,Harasser,False,False
A_1,35,‪SupportoVittima1‬ : Ma cosa vi importa a voi se lui balla ? Se non vi piace ballare non andate neanche a vederlo . Io sicuramente ci saró,Defense,Bystander_defender,False,False
A_1,37,‪Bullo1‬ : Ma per ridere e prenderlo in giro,Threat_or_Blackmail,Harasser,False,False
A_1,38,‪SupportoVittima3‬ : Sei un MOSTRO,Insult-General_Insult,Bystander_defender,False,False
A_1,39,‪SupportoVittima1‬ : Non ha senso lasciatelo stare,Defense,Bystander_defender,False,False
A_1,41,‪SupportoBullo2‬ : Ci sarò ovviamente alla figuraccia che farà Vittima,Insult-General_Insult,Bystander_assistant,False,False
A_1,42,‪SupportoVittima3‬ : FORZA Vittima io credo in te,Defense,Bystander_defender,False,False
A_1,43,‪SupportoBullo2‬ : L unico finocchio che ballerà insieme alle ragazze,Insult-Discrimination-Sexism,Bystander_assistant,False,False
A_1,44,‪SupportoVittima1‬ : Ma vorrei vederti io ballare ! Sicuramente è più bravo di voi,Defense,Bystander_defender,False,False
A_1,45,‪Bullo1‬ : Farò stampare Delle magliette con te in tutù,Threat_or_Blackmail,Harasser,False,False
A_1,46,‪SupportoBullo2‬ : Grande Bullo1 😂,Encouragement_to_the_Harasser,Bystander_assistant,False,False
A_1,47,‪SupportoVittima3‬ : Invece e` fortunatissimo,Defense,Bystander_defender,False,False
A_1,51,‪Bullo1‬ : Ma se è Gay,Insult-Discrimination-Sexism,Harasser,False,False
A_1,52,‪SupportoBullo2‬ : Non gli importa niente delle ragazze ma appena vede un uomo si eccita 😂,Insult-Discrimination-Sexism,Bystander_assistant,False,False
A_1,55,‪SupportoVittima3‬ : Ma cosa vi ha fatto ?,Defense,Bystander_defender,False,False
A_1,59,‪SupportoVittima3‬ : Ma se sapete che la VOSTRA verità può fare male a qualcuno tacete e basta dite di non venire e il problema finisce qua`,Defense,Bystander_defender,False,False
A_1,67,‪Bullo2‬ : Ma smettetela è una cosa stupida ! ! Ve lo immaginate lui che balla ? ? ?,Insult-General_Insult,Harasser,False,False
A_1,69,‪Bullo2‬ : Farebbe troppo ridere 😂 😂 😂,Insult-General_Insult,Harasser,False,False
A_1,70,‪SupportoVittima3‬ : Si e secondo me è anche bravo,Defense,Bystander_defender,False,False
A_1,71,Vittima : Ma se non mi avete mai visto ballare come potete giudicare ?,Defense,Victim,False,False
A_1,75,‪Bullo2‬ : Lui ? Bravo ? Si a fare figuracce di sicuro,Insult-General_Insult,Harasser,False,False
A_1,76,‪Bullo1‬ : Vedremo quanto sei brava Vittima,Threat_or_Blackmail,Harasser,False,False
A_1,77,‪Bullo2‬ : Già bravissima immagino,Insult-Discrimination-Sexism,Harasser,False,False
A_1,81,‪SupportoBullo2‬ : Non avresti fatto la figura del deficiente ballerino,Insult-General_Insult,Bystander_assistant,False,False
A_1,84,‪Bullo2‬ : Io già me lo immagino tutto rosso in viso che balla come un femminuccia 😂 😂 😂,Insult-Discrimination-Sexism,Harasser,False,False
A_1,85,‪Bullo2‬ : Smettila di difenderlo tanto lo sai anche tu che verrà fuori una schifezza,Insult-General_Insult,Harasser,False,False
A_1,87,‪SupportoVittima3‬ : Non è vero,Defense,Bystander_defender,False,False
A_1,94,‪Bullo2‬ : Di sicuro un cane è più bravo di lui,Insult-General_Insult,Harasser,False,False
A_1,95,‪SupportoBullo2‬ : Con la grazia di un elefante 😂,Insult-BodyShame,Bystander_assistant,False,False
A_1,96,‪SupportoVittima1‬ : Ma se diventasse come Roberto Bolle ?,Defense,Bystander_defender,False,False
A_1,100,‪SupportoBullo2‬ : Chi cacchio è il più finocchio dell universo ?,Insult-Discrimination-Sexism,Bystander_assistant,False,False
A_1,101,‪SupportoVittima3‬ : Okay ci sarò a fare il tifo x te ( in modo positivo ),Defense,Bystander_defender,False,False
A_1,102,‪Bullo2‬ : Bravi vai ad allenarti così magari farai una figura un po' più decente,Insult-General_Insult,Harasser,False,False
A_1,103,‪Bullo2‬ : Ma non credo,Other,Harasser,False,False
A_1,104,‪SupportoVittima3‬ : Voglio vederti te a ballare saresti un pinguino . . . sicuro,Insult-General_Insult,Bystander_assistant,False,False
A_1,107,‪Bullo2‬ : Beh un pinguino balla sicuramente meglio di Vittima,Insult-General_Insult,Harasser,False,False
A_1,110,‪Bullo2‬ : Sembra ebete,Insult-General_Insult,Harasser,False,False
A_1,112,"‪Bullo2‬ : Poverino , non augurerei questa fine a nessuno",Insult-General_Insult,Harasser,False,False
A_1,118,‪Bullo2‬ : Io penso solo che Vittima stia facendo una cosa stupida,Insult-General_Insult,Harasser,False,False
A_1,119,‪Bullo2‬ : Molto stupida,Insult-General_Insult,Harasser,False,False
A_1,120,‪SupportoVittima3‬ : Lascialo fare,Defense,Bystander_defender,False,False
A_1,121,‪Bullo2‬ : Ma smettetela che quando gli diciamo che è messo male va a piangere dalla mammina,Defamation,Harasser,False,False
A_1,124,‪SupportoVittima3‬ : Allora cosa giudichi,Defense,Bystander_defender,False,False
A_1,128,‪Bullo2‬ : Sarà lì davanti a tutti che gli tireranno pomodori addosso,Insult-General_Insult,Harasser,False,False
A_1,137,‪Bullo2‬ : Penso che gli unici biglietti comprati sono quelli di sua mamma e i altri due vostri 😂 😂,Curse_or_Exclusion,Harasser,False,False
A_1,139,‪SupportoVittima3‬ : Taci vala`,Defense,Bystander_defender,False,False
A_1,152,‪Bullo2‬ : Frocioooo,Insult-Discrimination-Sexism,Harasser,False,False
A_1,153,‪SupportoBullo2‬ : Vittima non ha speranze è solo un ragazzo disperato che crede di essere figo facendo il gay a danza,Insult-General_Insult,Bystander_assistant,False,False
A_1,153,‪SupportoBullo2‬ : Vittima non ha speranze è solo un ragazzo disperato che crede di essere figo facendo il gay a danza,Insult-Discrimination-Sexism,Bystander_assistant,False,False
A_1,154,‪Bullo2‬ : SupportoBullo2 ha ragione,Encouragement_to_the_Harasser,Harasser,False,False
A_1,158,‪Bullo2‬ : Meglio se cadi e muori,Curse_or_Exclusion,Harasser,False,False
A_1,160,‪SupportoBullo1‬ : Che finocchietto,Insult-Discrimination-Sexism,Bystander_assistant,False,False
A_1,167,‪SupportoBullo2‬ : Ma io non ci provo neanche pk se tu non hai il ca**o e riesci a fare questi movimenti . . . vuoi un applauso ?,Insult-Discrimination-Sexism,Bystander_assistant,False,False
A_1,169,‪Bullo2‬ : Vuoi solo attenzioni che non ti meriti,Curse_or_Exclusion,Harasser,False,False
A_1,173,‪SupportoBullo1‬ : Ti credi figo solo pk sai fare quella cazzo di danza,Insult-General_Insult,Bystander_assistant,False,False
A_1,174,‪Bullo2‬ : E invece non sai fare nemmeno quella,Defamation,Harasser,False,False
A_1,175,‪SupportoBullo1‬ : Grande Bullo2,Encouragement_to_the_Harasser,Bystander_assistant,False,False
A_1,176,‪Bullo2‬ : Secondo me sarai bravo per i muri,Insult-General_Insult,Harasser,True,False
A_1,177,‪Bullo2‬ : Magari nemmeno per loro,Insult-General_Insult,Harasser,False,False
A_1,178,‪SupportoBullo2‬ : Ma sicuro che al saggio ti hanno preso 🤣o fai l infiltrato per fare una figuraccia,Defamation,Bystander_assistant,False,False
A_1,179,‪Bullo2‬ : Faresti meglio a non presentarti al saggio,Curse_or_Exclusion,Harasser,False,False
A_1,184,‪SupportoBullo1‬ : Faresti meglio a morire,Curse_or_Exclusion,Bystander_assistant,False,False
A_1,186,‪Bullo2‬ : Non mangiare tanto o diventi ancora più obeso,Insult-BodyShame,Harasser,False,False
A_1,187,‪SupportoBullo2‬ : Poi chi ti vuole vedere 😂,Curse_or_Exclusion,Bystander_assistant,False,False
A_1,188,‪Bullo2‬ : In realtà non ti vuole vedere nessuno nemmeno adesso,Curse_or_Exclusion,Harasser,False,False
A_1,189,‪SupportoBullo2‬ : Buona notte a tutti gli etero,Insult-Discrimination-Sexism,Bystander_assistant,False,False
A_1,191,‪SupportoVittima1‬ : Smettila i chiamarlo così,Defense,Bystander_defender,False,False
A_1,194,‪Bullo2‬ : Tanto usa la testa solo per separare le orecchie,Insult-General_Insult,Harasser,False,False
A_1,195,Vittima : ma ancora con me ce l'avete ?,Defense,Victim,False,False
A_1,196,Vittima : Ma non avete di meglio da fare ?,Defense,Victim,False,False
A_1,197,"‪SupportoVittima1‬ : Appunto , lasciatelo stare",Defense,Bystander_defender,False,False
A_1,198,‪SupportoVittima3‬ : Lasciatelo in pace,Defense,Bystander_defender,False,False
A_1,199,‪SupportoVittima3‬ : Lasciatelo in pace almeno per 2 ore,Defense,Bystander_assistant,False,False
A_1,200,‪SupportoVittima3‬ : Cosa vi ha fatto,Defense,Bystander_assistant,False,False
A_1,203,‪Bullo2‬ : No ma non è una cosa che fanno u maschi,Insult-Discrimination-Sexism,Harasser,False,False
A_1,219,‪Bullo2‬ : Quindi gli ignoranti siete voi,Insult-General_Insult,Harasser,False,False
A_1,220,‪Bullo2‬ : Io continuo a pensare che sia frocio,Insult-Discrimination-Sexism,Harasser,False,False
A_1,224,‪Bullo1‬ : Ma Vittima non è una femmina è una ballerina,Insult-Discrimination-Sexism,Harasser,False,False
A_1,225,‪Bullo1‬ : Vittima è così poco maschio che se si sposa il parroco lo dichiara moglie e moglie,Insult-Discrimination-Sexism,Harasser,False,False
A_1,229,Vittima : Anche tu ti ci metti ?,Defense,Victim,False,False
A_1,236,‪Bullo1‬ : Così divento obeso anche io,Insult-BodyShame,Harasser,False,False
A_1,239,"‪Bullo2‬ : Io non dico che al saggio Vittima farà schifo , dico solo che invidio i non vedenti",Other,Harasser,False,False
A_1,241,"Vittima : Mi sa che i ciechi siete voi che non volete vedere . E vedete solo le cose che volete voi , senza capire gli altri .",Defense,Victim,False,False
A_1,242,"‪SupportoVittima1‬ : Ma mi spiegate , pensandoci prima di scrivere , perchè lo indultate in questa maniera ? Saranno cavolacci suoi se fa danza ? Se a voi non interessa non andate neanche al saggio ! Lui è solo statp gentile a invitarvi !",Defense,Bystander_defender,False,False
A_1,243,‪Bullo2‬ : Poteva evitare di fare la figura del finocchio non invitandoci,Insult-Discrimination-Sexism,Harasser,False,False
A_1,246,‪Bullo2‬ : Non c'era nessuno che voleva venire a vederlo,Curse_or_Exclusion,Harasser,False,False
A_1,251,‪Bullo2‬ : Ma secondo me i neuroni che funzionano nella sua testa sono un po' meno di zero,Insult-General_Insult,Harasser,False,False
A_1,254,‪Bullo2‬ : Ma dai ! Pensi davvero che nella sua testa ci siano neuroni funzionanti ?,Insult-General_Insult,Harasser,False,False
A_1,259,‪SupportoVittima3‬ : Allora siete solo dei idioti a fare queste discriminazioni,Insult-General_Insult,Bystander_defender,False,False
A_1,263,"‪SupportoVittima3‬ : Non è vero , sono sicura che è il + bravo del corso",Defense,Bystander_defender,False,False
A_1,265,‪SupportoBullo2‬ : Bullo2 ha ragione,Encouragement_to_the_Harasser,Bystander_assistant,False,False
A_1,273,‪Bullo2‬ : Non sarà mica andato a piangere da sua mamma,Defamation,Harasser,False,False
