File,SentenceNumber,Sentence
B_1,0,"‎24 / 04 / 18 , 13 : 53 - Bullo1 : Secchio . . . . Dovevi fare la spia . . . . . Sfigato"
B_1,1,"‎24 / 04 / 18 , 13 : 54 - Vittima : guarda che l'ho fatto per voi"
B_1,2,"‎24 / 04 / 18 , 13 : 54 - Vittima : fa male fumare , non te l'ha detto mai nessuno ?"
B_1,3,"‎24 / 04 / 18 , 13 : 55 - Bullo1 : Brutto sfigato . . . . . Non me ne frega . . . . Fatti i c***i tuoi"
B_1,4,"‎24 / 04 / 18 , 13 : 56 - SupportoVittima1 : Già , poi a scuola non si portano sigarette"
B_1,5,"‎24 / 04 / 18 , 13 : 56 - Vittima : Troppo tardi mi sa &#128524;"
B_1,6,"‎24 / 04 / 18 , 13 : 58 - Bullo1 : Appena ti becco fuori da scuola ! te la ficco in bocca la sigaretta"
B_1,7,"‎24 / 04 / 18 , 13 : 59 - Vittima : ma se non sai neanche accenderla"
B_1,8,"‎24 / 04 / 18 , 13 : 59 - Vittima : siete invidiosi perché vado bene a scuola , tutto qua"
B_1,9,"‎24 / 04 / 18 , 14 : 00 - Bullo1 : Sei solo un secchio , non hai amici , e fai schifo ooooo ! ! ! &#128545; &#128545; &#128545; &#128545;"
B_1,10,"‎24 / 04 / 18 , 14 : 00 - SupportoBullo1 : La smettete di prendere in giro Vittima"
B_1,11,"‎24 / 04 / 18 , 14 : 02 - Bullo1 : Cosa vuoi tu non lo conosci nemmeno , siete tutti è due sfigati cronici &#128514; &#129299; &#129299; &#129299; &#129299; &#129299;"
B_1,12,"‎24 / 04 / 18 , 14 : 02 - Vittima : non faccio schifo , ho solo detto la verità alla maestra"
B_1,13,"‎24 / 04 / 18 , 14 : 02 - Vittima : ve lo meritate di perdere l'anno se vi comportate così"
B_1,14,"‎24 / 04 / 18 , 14 : 03 - SupportoBullo3 : Siiii proprio cosiiiii &#128545; &#128545; &#128545; &#128545;"
B_1,15,"‎24 / 04 / 18 , 14 : 12 - SupportoBullo1 : Avete rotto"
B_1,16,"‎24 / 04 / 18 , 14 : 13 - SupportoBullo1 : Non va bene"
B_1,17,"‎24 / 04 / 18 , 14 : 14 - SupportoBullo1 : Vittima a detto solo la verità"
B_1,18,"‎24 / 04 / 18 , 14 : 34 - SupportoBullo2 : Dovrebbe farsi gli affari suoi invece di ficcare sempre il naso negli affari degli altri se non vuole finire all'ospedale"
B_1,19,"‎24 / 04 / 18 , 14 : 35 - Vittima : che fai mi minacci ?"
B_1,20,"‎24 / 04 / 18 , 14 : 36 - SupportoBullo1 : Hai ragione"
B_1,21,"‎24 / 04 / 18 , 14 : 37 - SupportoVittima1 : Vittima ha fatto solo la cosa giusta , smettetela ! !"
B_1,22,"‎24 / 04 / 18 , 14 : 38 - SupportoBullo2 : Si proprio così"
B_1,23,"‎24 / 04 / 18 , 14 : 38 - SupportoBullo1 : Non sono affari tuoi"
B_1,24,"‎24 / 04 / 18 , 14 : 38 - SupportoBullo2 : Non mi sembra proprio , intanto noi ci giochiamo l'anno"
B_1,25,"‎24 / 04 / 18 , 14 : 39 - SupportoVittima1 : Non è colpa mia se avete portato delle sigarette a scuola"
B_1,26,"‎24 / 04 / 18 , 14 : 39 - Vittima : potevate pensarci prima"
B_1,27,"‎24 / 04 / 18 , 14 : 40 - SupportoBullo1 : Te né in porta spione"
B_1,28,"‎24 / 04 / 18 , 14 : 40 - SupportoBullo2 : Era solo per divertirci scema"
B_1,29,"‎24 / 04 / 18 , 14 : 41 - SupportoBullo1 : Ecco ai ragione"
B_1,30,"‎24 / 04 / 18 , 14 : 41 - SupportoVittima1 : Potevate farlo fuori da scuola , ma comunque fa male fumare"
B_1,31,"‎24 / 04 / 18 , 14 : 42 - SupportoBullo1 : Lo sanno"
B_1,32,"‎24 / 04 / 18 , 14 : 42 - SupportoBullo1 : Ma volevano solo scherzare"
B_1,33,"‎24 / 04 / 18 , 14 : 43 - SupportoBullo2 : E allora ? ! Questi non sono affari tuoi"
B_1,34,"‎24 / 04 / 18 , 14 : 43 - SupportoBullo1 : Ecco continua così"
B_1,35,"‎24 / 04 / 18 , 14 : 44 - SupportoVittima2 : Questo messaggio è stato eliminato"
B_1,36,"‎24 / 04 / 18 , 14 : 45 - SupportoVittima2 : Sei tu lo sfigaro ( Bullo1 ?"
B_1,37,"‎24 / 04 / 18 , 14 : 45 - SupportoVittima2 : )"
B_1,38,"‎24 / 04 / 18 , 14 : 45 - SupportoBullo1 : Haaaaaa"
B_1,39,"‎24 / 04 / 18 , 14 : 45 - SupportoVittima2 : Vittima ha fatto la cosa giusta"
B_1,40,"‎24 / 04 / 18 , 14 : 45 - Vittima : Grazie , sono solo invidiosi"
B_1,41,"‎24 / 04 / 18 , 14 : 45 - Bullo1 : Ma stai zitta . . . Pure tu secchiona"
B_1,42,"‎24 / 04 / 18 , 14 : 46 - SupportoBullo2 : Sfigaro ? Wow vedo che l'italiano qui é molto presente . . ."
B_1,43,"‎24 / 04 / 18 , 14 : 46 - Vittima : se lo meritano di perdere l'anno"
B_1,44,"‎24 / 04 / 18 , 14 : 46 - Vittima : perché non studiate e fumate"
B_1,45,"‎24 / 04 / 18 , 14 : 46 - SupportoVittima2 : E si"
B_1,46,"‎24 / 04 / 18 , 14 : 46 - SupportoBullo2 : Ma zitto"
B_1,47,"‎24 / 04 / 18 , 14 : 46 - SupportoBullo2 : Taci , questi non sono affari tuoi"
B_1,48,"‎24 / 04 / 18 , 14 : 48 - Vittima : invece sì che sono affari miei"
B_1,49,"‎24 / 04 / 18 , 14 : 49 - SupportoBullo1 : No Non sono affari tuoi"
B_1,50,"‎24 / 04 / 18 , 14 : 49 - SupportoBullo1 : Hai capito ?"
B_1,51,"‎24 / 04 / 18 , 14 : 52 - SupportoVittima2 : Volevo dire sfigato"
B_1,52,"‎24 / 04 / 18 , 14 : 52 - SupportoVittima2 : Prima"
B_1,53,"‎24 / 04 / 18 , 14 : 53 - SupportoBullo1 : SupportoVittima2 stai zitta"
B_1,54,"‎24 / 04 / 18 , 14 : 56 - SupportoBullo2 : Sisi vedrai come diventeranno affari tuoi quando ti pesteremo"
B_1,55,"‎24 / 04 / 18 , 14 : 57 - SupportoBullo1 : Ti beccheremo fuori scuola"
B_1,56,"‎24 / 04 / 18 , 14 : 58 - SupportoBullo1 : SupportoVittima2 fatti i affari tuoi"
B_1,57,"‎24 / 04 / 18 , 14 : 58 - SupportoBullo1 : Ok"
B_1,58,"‎24 / 04 / 18 , 14 : 58 - Vittima : dovreste studiare invece di offendermi"
B_1,59,"‎24 / 04 / 18 , 15 : 00 - SupportoBullo1 : Io studio più di tè , tu cosa studi , studi le parolacce perché non le sai"
B_1,60,"‎24 / 04 / 18 , 15 : 03 - SupportoBullo2 : Eh già"
B_1,61,"‎24 / 04 / 18 , 16 : 08 - Vittima : ma che ne sapete voi , sapete solo offendere"
B_1,62,"‎24 / 04 / 18 , 16 : 08 - Vittima : intanto vi beccate 3 giorni di sospensione"
B_1,63,"‎24 / 04 / 18 , 16 : 09 - SupportoBullo2 : Si , per colpa tua marmocchio"
B_1,64,"‎24 / 04 / 18 , 16 : 11 - Vittima : esatto . così la smettete di scrivere cose cattive sul mio conto"
B_1,65,"‎24 / 04 / 18 , 16 : 30 - SupportoBullo1 : Si ti sta bene"
B_1,66,"‎24 / 04 / 18 , 16 : 30 - SupportoBullo1 : Anche noi faremo la spia"
B_1,67,"‎24 / 04 / 18 , 16 : 33 - SupportoBullo1 : Sapete perché Vittima a dei bei voti perché lui va a guardare le domande per essere capace a rispondere alle risposte delle verifiche"
B_1,68,"‎24 / 04 / 18 , 16 : 38 - Vittima : non è vero"
B_1,69,"‎24 / 04 / 18 , 16 : 48 - SupportoBullo2 : Ne siamo sicuri ? !"
