File,SentenceNumber,Sentence
C_1,0,"‎28 / 04 / 18 , 14 : 18 - Bullo2 : Vaffanculo Vittima nessuno vuole fare i compiti"
C_1,1,"‎28 / 04 / 18 , 14 : 19 - SupportoBullo3 : Infatti ma stai zitto e non studiare sempre bravo Bullo2 così si fai"
C_1,2,"‎28 / 04 / 18 , 14 : 19 - SupportoBullo1 : Quasi quasi verrei lì da te e te li farei fare tutti i nostri compiti in più crepa"
C_1,3,"‎28 / 04 / 18 , 14 : 20 - SupportoBullo3 : Ecco secchione da schifo"
C_1,4,"‎28 / 04 / 18 , 14 : 20 - SupportoVittima1 : Ogniuno si deve fare i propti compiti pk cosí si impara qualcosa"
C_1,5,"‎28 / 04 / 18 , 14 : 20 - Bullo2 : MinChia pure tua madre se mi sta sul c***o"
C_1,6,"‎28 / 04 / 18 , 14 : 21 - SupportoBullo1 : Tutta colpa tua ora non ho mai tempo libero solo perché devo fare sto cazzo di compiti che per colpa tua facciamo"
C_1,7,"‎28 / 04 / 18 , 14 : 21 - SupportoBullo3 : Si ma non si può star a casa tutto il giorno a studiare si deve essere così stupidi"
C_1,8,"‎28 / 04 / 18 , 14 : 21 - SupportoBullo1 : Non poteva starsene zitta poi"
C_1,9,"‎28 / 04 / 18 , 14 : 22 - Bullo2 : I libri dei compiti te li infiliamo su per il . . ."
C_1,10,"‎28 / 04 / 18 , 14 : 22 - SupportoVittima1 : Poi non rompete a Vittima pk si vede che lui studia e coi no"
C_1,11,"‎28 / 04 / 18 , 14 : 22 - Bullo2 : Ma che casso c'è ne frega che lui studia e noi no Mona"
C_1,12,"‎28 / 04 / 18 , 14 : 23 - SupportoBullo3 : Ma stai zitta tu e il tuo fidanzato che studia"
C_1,13,"‎28 / 04 / 18 , 14 : 23 - Bullo2 : Vittima coglione"
C_1,14,"‎28 / 04 / 18 , 14 : 23 - SupportoBullo3 : Hahahahah hai ragione"
C_1,15,"‎28 / 04 / 18 , 14 : 24 - Vittima : ma non è colpa mia !"
C_1,16,"‎28 / 04 / 18 , 14 : 24 - Vittima : perché ve la prendete con me"
C_1,17,"‎28 / 04 / 18 , 14 : 24 - Bullo2 : No è di chi"
C_1,18,"‎28 / 04 / 18 , 14 : 24 - Vittima : è stata mia madre"
C_1,19,"‎28 / 04 / 18 , 14 : 24 - SupportoVittima1 : 1 cosa NON é il mio fidanzato"
C_1,20,"‎28 / 04 / 18 , 14 : 24 - Vittima : ma io non ho fatto niente"
C_1,21,"‎28 / 04 / 18 , 14 : 24 - Bullo2 : Tua madre fa schifo quanto te"
C_1,22,"‎28 / 04 / 18 , 14 : 25 - Vittima : non offendere mia madre"
C_1,23,"‎28 / 04 / 18 , 14 : 25 - SupportoBullo3 : Hahahaha che bacia ancora con la mamma chiamiamo l'ambulagna"
