File,SentenceNumber,Sentence,EntityType,Role,Sarcasm,Non-Offensive
C_1,0,"‎28 / 04 / 18 , 14 : 18 - Bullo2 : Vaffanculo Vittima nessuno vuole fare i compiti",Insult-General_Insult,Harasser,False,False
C_1,1,"‎28 / 04 / 18 , 14 : 19 - SupportoBullo3 : Infatti ma stai zitto e non studiare sempre bravo Bullo2 così si fai",Curse_or_Exclusion,Bystander_assistant,False,False
C_1,1,"‎28 / 04 / 18 , 14 : 19 - SupportoBullo3 : Infatti ma stai zitto e non studiare sempre bravo Bullo2 così si fai",Encouragement_to_the_Harasser,Bystander_assistant,False,False
C_1,2,"‎28 / 04 / 18 , 14 : 19 - SupportoBullo1 : Quasi quasi verrei lì da te e te li farei fare tutti i nostri compiti in più crepa",Curse_or_Exclusion,Bystander_assistant,False,False
C_1,3,"‎28 / 04 / 18 , 14 : 20 - SupportoBullo3 : Ecco secchione da schifo",Insult-General_Insult,Bystander_assistant,False,False
C_1,5,"‎28 / 04 / 18 , 14 : 20 - Bullo2 : MinChia pure tua madre se mi sta sul c***o",Insult-Attacking_relatives,Harasser,False,False
C_1,6,"‎28 / 04 / 18 , 14 : 21 - SupportoBullo1 : Tutta colpa tua ora non ho mai tempo libero solo perché devo fare sto cazzo di compiti che per colpa tua facciamo",Curse_or_Exclusion,Bystander_assistant,False,False
C_1,7,"‎28 / 04 / 18 , 14 : 21 - SupportoBullo3 : Si ma non si può star a casa tutto il giorno a studiare si deve essere così stupidi",Insult-General_Insult,Bystander_assistant,False,False
C_1,8,"‎28 / 04 / 18 , 14 : 21 - SupportoBullo1 : Non poteva starsene zitta poi",Curse_or_Exclusion,Bystander_assistant,False,False
C_1,9,"‎28 / 04 / 18 , 14 : 22 - Bullo2 : I libri dei compiti te li infiliamo su per il . . .",Threat_or_Blackmail,Harasser,False,False
C_1,10,"‎28 / 04 / 18 , 14 : 22 - SupportoVittima1 : Poi non rompete a Vittima pk si vede che lui studia e coi no",Defense,Bystander_defender,False,False
C_1,11,"‎28 / 04 / 18 , 14 : 22 - Bullo2 : Ma che casso c'è ne frega che lui studia e noi no Mona",Insult-General_Insult,Harasser,False,False
C_1,12,"‎28 / 04 / 18 , 14 : 23 - SupportoBullo3 : Ma stai zitta tu e il tuo fidanzato che studia",Curse_or_Exclusion,Bystander_assistant,False,False
C_1,13,"‎28 / 04 / 18 , 14 : 23 - Bullo2 : Vittima coglione",Insult-General_Insult,Harasser,False,False
C_1,14,"‎28 / 04 / 18 , 14 : 23 - SupportoBullo3 : Hahahahah hai ragione",Encouragement_to_the_Harasser,Bystander_assistant,False,False
C_1,15,"‎28 / 04 / 18 , 14 : 24 - Vittima : ma non è colpa mia !",Defense,Victim,False,False
C_1,16,"‎28 / 04 / 18 , 14 : 24 - Vittima : perché ve la prendete con me",Defense,Victim,False,False
C_1,18,"‎28 / 04 / 18 , 14 : 24 - Vittima : è stata mia madre",Defense,Victim,False,False
C_1,20,"‎28 / 04 / 18 , 14 : 24 - Vittima : ma io non ho fatto niente",Defense,Victim,False,False
C_1,21,"‎28 / 04 / 18 , 14 : 24 - Bullo2 : Tua madre fa schifo quanto te",Insult-Attacking_relatives,Harasser,False,False
C_1,22,"‎28 / 04 / 18 , 14 : 25 - Vittima : non offendere mia madre",Defense,Victim,False,False
C_1,24,"‎28 / 04 / 18 , 14 : 25 - Bullo2 : Sempre li a studiare stai ma fatti una vita cazzo",Curse_or_Exclusion,Harasser,False,False
C_1,25,"‎28 / 04 / 18 , 14 : 25 - SupportoVittima1 : Lo volete ccapire che non é colpa sua ma di sua madre",Defense,Bystander_defender,False,False
C_1,26,"‎28 / 04 / 18 , 14 : 25 - Vittima : ma cosa vuoi tu",Defense,Victim,False,False
C_1,29,"‎28 / 04 / 18 , 14 : 25 - Bullo2 : Studia studia poi tanto da grande pulirai i cessi",Insult-General_Insult,Harasser,False,False
C_1,33,"‎28 / 04 / 18 , 14 : 26 - Vittima : lo dico alla prof che mi offendi",Threat_or_Blackmail,Victim,False,False
C_1,36,"‎28 / 04 / 18 , 14 : 26 - SupportoBullo3 : Ma che testa di cazzo come tua madre",Insult-General_Insult,Bystander_assistant,False,False
C_1,36,"‎28 / 04 / 18 , 14 : 26 - SupportoBullo3 : Ma che testa di cazzo come tua madre",Insult-Attacking_relatives,Bystander_assistant,False,False
C_1,38,"‎28 / 04 / 18 , 14 : 27 - Bullo2 : Raga sto qua e già tanto che ha WhatsApp 🤣 🤣 coglione quanto lo puoi usare il telefono al giorno due minuti ?",Insult-General_Insult,Harasser,False,False
C_1,38,"‎28 / 04 / 18 , 14 : 27 - Bullo2 : Raga sto qua e già tanto che ha WhatsApp 🤣 🤣 coglione quanto lo puoi usare il telefono al giorno due minuti ?",Defamation,Harasser,False,False
C_1,39,"‎28 / 04 / 18 , 14 : 27 - SupportoBullo3 : Ma stai zitta SupportoVittima1 che tu lavorerai tu ai cessi come te",Curse_or_Exclusion,Bystander_assistant,False,False
C_1,39,"‎28 / 04 / 18 , 14 : 27 - SupportoBullo3 : Ma stai zitta SupportoVittima1 che tu lavorerai tu ai cessi come te",Defamation,Bystander_assistant,False,False
C_1,40,"‎28 / 04 / 18 , 14 : 27 - SupportoBullo3 : Hahahah hai ragione",Encouragement_to_the_Harasser,Bystander_assistant,False,False
C_1,41,"‎28 / 04 / 18 , 14 : 27 - Bullo2 : Grande SupportoBullo3",Encouragement_to_the_Harasser,Harasser,False,False
