File,SentenceNumber,Sentence
D_1,0,"‎27 / 04 / 18 , 14 : 00 - Bullo1 : Che scemo che eri su quel video"
D_1,1,"‎27 / 04 / 18 , 14 : 01 - Bullo1 : Non sai manco fare una flessione e ora ti metti a ballare"
D_1,2,"‎27 / 04 / 18 , 14 : 01 - Bullo1 : Ma va ! ! !"
D_1,3,"‎27 / 04 / 18 , 14 : 02 - Bullo2 : sfigato madonna ahahahhaa"
D_1,4,"‎27 / 04 / 18 , 14 : 03 - SupportoVittima1 : Grandee &#128514; &#128514;"
D_1,5,"‎27 / 04 / 18 , 14 : 04 - Bullo2 : i musical . ly sono da femmina"
D_1,6,"‎27 / 04 / 18 , 14 : 04 - Bullo2 : poi balli come una vacca in calore dai dai"
D_1,7,"‎27 / 04 / 18 , 14 : 04 - Vittima : A me sembra di aver ottenuto successo con quel video . . ."
D_1,8,"‎27 / 04 / 18 , 14 : 05 - Bullo2 : a me sembra proprio che tu abbia ottenuto successo solo tra gli sfigati come te ahahahha"
D_1,9,"‎27 / 04 / 18 , 14 : 05 - Bullo1 : &#129315;"
D_1,10,"‎27 / 04 / 18 , 14 : 06 - Bullo1 : Be ovvio Bullo2 lui è il re degli sfigati"
D_1,11,"‎27 / 04 / 18 , 14 : 06 - Bullo1 : Un cesso vivente"
D_1,12,"‎27 / 04 / 18 , 14 : 06 - Bullo2 : ovvioooo"
D_1,13,"‎27 / 04 / 18 , 14 : 07 - Bullo1 : &#128169; &#128169; &#128169; &#128169; &#128169; &#128169;"
D_1,14,"‎27 / 04 / 18 , 14 : 08 - Bullo1 : Be lui che è"
D_1,15,"‎27 / 04 / 18 , 14 : 08 - Bullo1 : &#128514;"
D_1,16,"‎27 / 04 / 18 , 14 : 09 - SupportoVittima1 : &#128514; &#128514;"
D_1,17,"‎27 / 04 / 18 , 14 : 09 - Bullo2 : ah beh decisamente una donna"
D_1,18,"‎27 / 04 / 18 , 14 : 09 - Vittima : non mi sembra . . ."
D_1,19,"‎27 / 04 / 18 , 14 : 09 - Vittima : a me piace quel video"
D_1,20,"‎27 / 04 / 18 , 14 : 09 - Bullo1 : Be a noi no"
D_1,21,"‎27 / 04 / 18 , 14 : 09 - Bullo2 : fa cagare in poche parole"
D_1,22,"‎27 / 04 / 18 , 14 : 09 - Bullo1 : &#128169;"
D_1,23,"‎27 / 04 / 18 , 14 : 10 - SupportoVittima2 : Cosa ridi"
D_1,24,"‎27 / 04 / 18 , 14 : 10 - SupportoVittima2 : Stai zitta"
D_1,25,"‎27 / 04 / 18 , 14 : 10 - Bullo1 : Ma stai zitto tu sfigato"
D_1,26,"‎27 / 04 / 18 , 14 : 10 - Bullo2 : arriva il secondo sfigato di turno"
D_1,27,"‎27 / 04 / 18 , 14 : 10 - SupportoBullo1 : Haha é già"
D_1,28,"‎27 / 04 / 18 , 14 : 11 - SupportoVittima2 : Se Non la smetti la vedrai con tutti noi"
D_1,29,"‎27 / 04 / 18 , 14 : 11 - Bullo1 : A si con i vostri amici sfigati che"
D_1,30,"‎27 / 04 / 18 , 14 : 11 - Vittima : come se voi non abbiate mai fatto video su musically"
D_1,31,"‎27 / 04 / 18 , 14 : 11 - Bullo1 : Non sanno amnco tirare un pugno"
D_1,32,"‎27 / 04 / 18 , 14 : 11 - Vittima : e sappiate ballare benissimo"
D_1,33,"‎27 / 04 / 18 , 14 : 11 - SupportoVittima2 : Ecco"
D_1,34,"‎27 / 04 / 18 , 14 : 11 - Bullo2 : almeno i nostri sono decenti ahahaha"
D_1,35,"‎27 / 04 / 18 , 14 : 12 - Bullo2 : appunto"
D_1,36,"‎27 / 04 / 18 , 14 : 12 - Bullo1 : Manco*"
D_1,37,"‎27 / 04 / 18 , 14 : 12 - SupportoVittima2 : Sfigata"
D_1,38,"‎27 / 04 / 18 , 14 : 12 - Bullo1 : Ci vogliono tirare i libri"
D_1,39,"‎27 / 04 / 18 , 14 : 12 - SupportoVittima2 : Stai zitta"
D_1,40,"‎27 / 04 / 18 , 14 : 12 - Bullo1 : &#128514;"
D_1,41,"‎27 / 04 / 18 , 14 : 12 - Bullo1 : A si i dizionari"
D_1,42,"‎27 / 04 / 18 , 14 : 12 - SupportoVittima2 : Vai a vagare &#128169;"
D_1,43,"‎27 / 04 / 18 , 14 : 12 - SupportoBullo1 : Almeno non sembriamo un elefante"
D_1,44,"‎27 / 04 / 18 , 14 : 13 - Bullo2 : che paura"
D_1,45,"‎27 / 04 / 18 , 14 : 13 - Bullo1 : &#128514;"
D_1,46,"‎27 / 04 / 18 , 14 : 13 - SupportoBullo1 : Wow l'italiano é molto presente qui"
D_1,47,"‎27 / 04 / 18 , 14 : 13 - Bullo2 : gia"
D_1,48,"‎27 / 04 / 18 , 14 : 14 - SupportoBullo1 : P . . ? P . . cosa petto ? Pettinatura ?"
D_1,49,"‎27 / 04 / 18 , 14 : 14 - SupportoBullo1 : É inutile che cancelli"
D_1,50,"‎27 / 04 / 18 , 14 : 15 - SupportoBullo1 : O come Pagliaccio ?"
D_1,51,"‎27 / 04 / 18 , 14 : 15 - Bullo2 : pettine ahahha"
D_1,52,"‎27 / 04 / 18 , 14 : 15 - Bullo1 : Si come Vittima"
D_1,53,"‎27 / 04 / 18 , 14 : 15 - Bullo2 : ahahahahahahahah ahahaha"
D_1,54,"‎27 / 04 / 18 , 14 : 15 - Bullo1 : Vittima"
D_1,55,"‎27 / 04 / 18 , 14 : 15 - SupportoBullo1 : Quello lo é il tuo amico Vittima"
