File,SentenceNumber,Sentence,EntityType,Role,Sarcasm,Non-Offensive
D_1,0,"‎27 / 04 / 18 , 14 : 00 - Bullo1 : Che scemo che eri su quel video",Insult-General_Insult,Harasser,False,False
D_1,1,"‎27 / 04 / 18 , 14 : 01 - Bullo1 : Non sai manco fare una flessione e ora ti metti a ballare",Insult-General_Insult,Harasser,False,False
D_1,3,"‎27 / 04 / 18 , 14 : 02 - Bullo2 : sfigato madonna ahahahhaa",Insult-General_Insult,Harasser,False,False
D_1,4,"‎27 / 04 / 18 , 14 : 03 - SupportoVittima1 : Grandee 😂 😂",Defense,Bystander_defender,False,False
D_1,5,"‎27 / 04 / 18 , 14 : 04 - Bullo2 : i musical . ly sono da femmina",Insult-Discrimination-Sexism,Harasser,False,False
D_1,6,"‎27 / 04 / 18 , 14 : 04 - Bullo2 : poi balli come una vacca in calore dai dai",Insult-BodyShame,Harasser,False,False
D_1,7,"‎27 / 04 / 18 , 14 : 04 - Vittima : A me sembra di aver ottenuto successo con quel video . . .",Defense,Victim,False,False
D_1,8,"‎27 / 04 / 18 , 14 : 05 - Bullo2 : a me sembra proprio che tu abbia ottenuto successo solo tra gli sfigati come te ahahahha",Insult-General_Insult,Harasser,False,False
D_1,10,"‎27 / 04 / 18 , 14 : 06 - Bullo1 : Be ovvio Bullo2 lui è il re degli sfigati",Insult-General_Insult,Harasser,False,False
D_1,11,"‎27 / 04 / 18 , 14 : 06 - Bullo1 : Un cesso vivente",Insult-BodyShame,Harasser,False,False
D_1,12,"‎27 / 04 / 18 , 14 : 06 - Bullo2 : ovvioooo",Encouragement_to_the_Harasser,Harasser,False,False
D_1,13,"‎27 / 04 / 18 , 14 : 07 - Bullo1 : 💩 💩 💩 💩 💩 💩",Insult-General_Insult,Harasser,False,False
D_1,17,"‎27 / 04 / 18 , 14 : 09 - Bullo2 : ah beh decisamente una donna",Insult-Discrimination-Sexism,Harasser,False,False
D_1,18,"‎27 / 04 / 18 , 14 : 09 - Vittima : non mi sembra . . .",Defense,Victim,False,False
D_1,19,"‎27 / 04 / 18 , 14 : 09 - Vittima : a me piace quel video",Defense,Victim,False,False
